NAV,Date (DD/MM/YYYY)
0,13/05/2009
0,14/05/2009
10,15/05/2009
10,16/05/2009
10,17/05/2009
10,18/05/2009
10,19/05/2009
10,20/05/2009
10,21/05/2009
10,22/05/2009
10,23/05/2009
10,24/05/2009
10,25/05/2009
10,26/05/2009
10,27/05/2009
10,28/05/2009
10,29/05/2009
10,30/05/2009
10,31/05/2009
10,01/06/2009
10,02/06/2009
10,03/06/2009
10,04/06/2009
10,05/06/2009
10,06/06/2009
10,07/06/2009
10,08/06/2009
10,09/06/2009
10,10/06/2009
10,11/06/2009
9.8477,12/06/2009
9.8477,13/06/2009
9.8477,14/06/2009
9.6685,15/06/2009
9.6265,16/06/2009
9.6646,17/06/2009
9.2531,18/06/2009
9.3031,19/06/2009
9.3031,20/06/2009
9.3031,21/06/2009
9.3968,22/06/2009
9.2623,23/06/2009
9.2623,24/06/2009
9.2973,25/06/2009
9.4051,26/06/2009
9.4051,27/06/2009
9.4051,28/06/2009
9.4886,29/06/2009
9.41,30/06/2009
9.3829,01/07/2009
9.4130,02/07/2009
9.4647,03/07/2009
9.4647,04/07/2009
9.4647,05/07/2009
10.1761,06/07/2009
9.2646,07/07/2009
9.1354,08/07/2009
9.1852,09/07/2009
8.9985,10/07/2009
8.9985,11/07/2009
8.9985,12/07/2009
8.8613,13/07/2009
8.9551,14/07/2009
9.3427,15/07/2009
9.2605,16/07/2009
9.6015,17/07/2009
9.6015,18/07/2009
9.6015,19/07/2009
9.8405,20/07/2009
9.6724,21/07/2009
9.6287,22/07/2009
9.9827,23/07/2009
9.9177,24/07/2009
9.9177,25/07/2009
9.9177,26/07/2009
9.9177,27/07/2009
10.0424,28/07/2009
9.9169,29/07/2009
10.4739,30/07/2009
10.2407,31/07/2009
10.2407,01/08/2009
10.2407,02/08/2009
10.1796,03/08/2009
10.1425,04/08/2009
10.2555,05/08/2009
10.0596,06/08/2009
9.9273,07/08/2009
9.9273,08/08/2009
9.9273,09/08/2009
9.9372,10/08/2009
9.8631,11/08/2009
9.7676,12/08/2009
9.9056,13/08/2009
10.0444,14/08/2009
10.0444,15/08/2009
10.0444,16/08/2009
9.6168,17/08/2009
9.8867,18/08/2009
9.7246,19/08/2009
9.8517,20/08/2009
9.8517,21/08/2009
9.8517,22/08/2009
9.8517,23/08/2009
9.9819,24/08/2009
10.1349,25/08/2009
10.0384,26/08/2009
10.1642,27/08/2009
10.2906,28/08/2009
10.2906,29/08/2009
10.2906,30/08/2009
10.1065,31/08/2009
10.0375,01/09/2009
10.0154,02/09/2009
9.9449,03/09/2009
10.2250,04/09/2009
10.2250,05/09/2009
10.2250,06/09/2009
10.3523,07/09/2009
10.3523,08/09/2009
10.3467,09/09/2009
10.2814,10/09/2009
10.4645,11/09/2009
10.4645,12/09/2009
10.4645,13/09/2009
10.3369,14/09/2009
10.6191,15/09/2009
10.6879,16/09/2009
10.7084,17/09/2009
10.8815,18/09/2009
10.8815,19/09/2009
10.8815,20/09/2009
10.8814,21/09/2009
10.7696,22/09/2009
10.7696,23/09/2009
10.7690,24/09/2009
10.8639,25/09/2009
10.8639,26/09/2009
10.8639,27/09/2009
