NAV,Date (DD/MM/YYYY)
0,30/11/2009
0,01/12/2009
0,02/12/2009
0,03/12/2009
0,04/12/2009
0,05/12/2009
0,06/12/2009
0,07/12/2009
0,08/12/2009
0,09/12/2009
0,10/12/2009
0,11/12/2009
0,12/12/2009
0,13/12/2009
10,14/12/2009
10,15/12/2009
10,16/12/2009
10,17/12/2009
10,18/12/2009
10,19/12/2009
10,20/12/2009
10,21/12/2009
10,22/12/2009
10,23/12/2009
10,24/12/2009
10,25/12/2009
10,26/12/2009
10,27/12/2009
10,28/12/2009
10,29/12/2009
10,30/12/2009
10,31/12/2009
10,01/01/2010
10,02/01/2010
10,03/01/2010
10,04/01/2010
10,05/01/2010
10,06/01/2010
10,07/01/2010
10,08/01/2010
10,09/01/2010
10,10/01/2010
10,11/01/2010
10,12/01/2010
10,13/01/2010
10,14/01/2010
10,15/01/2010
10,16/01/2010
10,17/01/2010
9.7507,18/01/2010
9.7507,19/01/2010
9.7507,20/01/2010
9.7507,21/01/2010
9.7517,22/01/2010
9.7527,23/01/2010
9.7537,24/01/2010
9.7547,25/01/2010
9.7556,26/01/2010
9.7565,27/01/2010
9.7573,28/01/2010
9.7582,29/01/2010
9.7590,30/01/2010
9.7598,31/01/2010
9.7606,01/02/2010
9.7614,02/02/2010
9.7622,03/02/2010
9.7633,04/02/2010
9.7644,05/02/2010
9.7655,06/02/2010
9.7666,07/02/2010
9.8118,08/02/2010
9.8129,09/02/2010
10.0195,10/02/2010
10.0206,11/02/2010
10.0217,12/02/2010
10.0228,13/02/2010
10.0239,14/02/2010
10.0250,15/02/2010
10.0255,16/02/2010
10.0267,17/02/2010
10.0280,18/02/2010
10.0293,19/02/2010
10.0306,20/02/2010
10.0318,21/02/2010
10.0331,22/02/2010
10.0343,23/02/2010
10.0355,24/02/2010
10.0367,25/02/2010
10.0379,26/02/2010
10.0391,27/02/2010
10.0403,28/02/2010
10.0415,01/03/2010
10.0431,02/03/2010
10.0444,03/03/2010
10.0458,04/03/2010
10.0471,05/03/2010
10.0484,06/03/2010
10.0497,07/03/2010
10.0510,08/03/2010
10.0523,09/03/2010
10.0536,10/03/2010
10.0549,11/03/2010
10.0563,12/03/2010
10.0576,13/03/2010
10.0588,14/03/2010
10.0601,15/03/2010
10.0614,16/03/2010
10.0627,17/03/2010
10.0640,18/03/2010
10.0652,19/03/2010
10.0665,20/03/2010
10.0678,21/03/2010
10.0691,22/03/2010
10.0703,23/03/2010
10.0716,24/03/2010
10.0729,25/03/2010
10.0741,26/03/2010
10.0754,27/03/2010
10.0766,28/03/2010
10.0779,29/03/2010
10.0792,30/03/2010
10.0801,31/03/2010
10.0815,01/04/2010
10.0828,02/04/2010
10.0841,03/04/2010
10.0855,04/04/2010
10.0868,05/04/2010
10.0881,06/04/2010
10.0894,07/04/2010
10.0907,08/04/2010
10.0919,09/04/2010
10.0932,10/04/2010
10.0945,11/04/2010
10.0958,12/04/2010
10.0971,13/04/2010
10.0985,14/04/2010
10.0998,15/04/2010
10.1011,16/04/2010
10.1024,17/04/2010
10.1038,18/04/2010
10.1051,19/04/2010
10.1064,20/04/2010
10.1077,21/04/2010
10.1090,22/04/2010
10.1103,23/04/2010
10.1116,24/04/2010
10.1129,25/04/2010
10.1142,26/04/2010
10.1156,27/04/2010
10.1169,28/04/2010
10.1183,29/04/2010
10.1196,30/04/2010
10.1209,01/05/2010
10.1222,02/05/2010
10.1235,03/05/2010
10.1248,04/05/2010
10.1261,05/05/2010
10.1273,06/05/2010
10.1286,07/05/2010
10.1299,08/05/2010
10.1312,09/05/2010
10.1325,10/05/2010
10.1338,11/05/2010
10.1352,12/05/2010
10.1366,13/05/2010
10.1380,14/05/2010
10.1393,15/05/2010
10.1407,16/05/2010
10.1421,17/05/2010
10.1434,18/05/2010
10.1447,19/05/2010
10.1461,20/05/2010
10.1474,21/05/2010
10.1487,22/05/2010
10.15,23/05/2010
10.1514,24/05/2010
10.1527,25/05/2010
10.1540,26/05/2010
10.1553,27/05/2010
10.1566,28/05/2010
10.1579,29/05/2010
10.1592,30/05/2010
10.1605,31/05/2010
10.1618,01/06/2010
10.1631,02/06/2010
10.1644,03/06/2010
10.1658,04/06/2010
10.1671,05/06/2010
10.1684,06/06/2010
10.1697,07/06/2010
10.1711,08/06/2010
10.1724,09/06/2010
10.1737,10/06/2010
10.1750,11/06/2010
10.1763,12/06/2010
10.1776,13/06/2010
10.1789,14/06/2010
10.1801,15/06/2010
10.1813,16/06/2010
10.1827,17/06/2010
10.1840,18/06/2010
10.1852,19/06/2010
10.1864,20/06/2010
10.1878,21/06/2010
10.1891,22/06/2010
10.1904,23/06/2010
10.1916,24/06/2010
10.1929,25/06/2010
10.1941,26/06/2010
10.1953,27/06/2010
10.1968,28/06/2010
10.1980,29/06/2010
10.1992,30/06/2010
10.2003,01/07/2010
10.2017,02/07/2010
10.2028,03/07/2010
10.2038,04/07/2010
10.2055,05/07/2010
10.2013,06/07/2010
10.2026,07/07/2010
10.2040,08/07/2010
10.2053,09/07/2010
10.2063,10/07/2010
10.2074,11/07/2010
10.2091,12/07/2010
10.2103,13/07/2010
10.2116,14/07/2010
10.2129,15/07/2010
10.2142,16/07/2010
10.2152,17/07/2010
10.2161,18/07/2010
10.2181,19/07/2010
10.2193,20/07/2010
10.2206,21/07/2010
10.2218,22/07/2010
10.2229,23/07/2010
10.2237,24/07/2010
10.2245,25/07/2010
10.2262,26/07/2010
10.2274,27/07/2010
10.2286,28/07/2010
10.2298,29/07/2010
10.2311,30/07/2010
10.2318,31/07/2010
10.2326,01/08/2010
10.2348,02/08/2010
10.2360,03/08/2010
10.2372,04/08/2010
10.2384,05/08/2010
10.2396,06/08/2010
10.2403,07/08/2010
10.2410,08/08/2010
10.2433,09/08/2010
10.2446,10/08/2010
10.2458,11/08/2010
10.2471,12/08/2010
10.2483,13/08/2010
10.2489,14/08/2010
10.2495,15/08/2010
10.2522,16/08/2010
10.2536,17/08/2010
10.2547,18/08/2010
10.2551,19/08/2010
10.2570,20/08/2010
10.2574,21/08/2010
10.2578,22/08/2010
10.2609,23/08/2010
10.3771,24/08/2010
10.3792,25/08/2010
10.3813,26/08/2010
10.3834,27/08/2010
10.3856,28/08/2010
10.3879,29/08/2010
10.3897,30/08/2010
10.3897,31/08/2010
10.3917,01/09/2010
10.3955,02/09/2010
10.3974,03/09/2010
10.3993,04/09/2010
10.4013,05/09/2010
10.4035,06/09/2010
10.4055,07/09/2010
10.4073,08/09/2010
10.4094,09/09/2010
10.4110,10/09/2010
10.4126,11/09/2010
10.4142,12/09/2010
10.4170,13/09/2010
10.4173,14/09/2010
10.4162,15/09/2010
10.4182,16/09/2010
10.4202,17/09/2010
10.4217,18/09/2010
10.4233,19/09/2010
10.4277,20/09/2010
10.4266,21/09/2010
10.4302,22/09/2010
10.4338,23/09/2010
10.4282,24/09/2010
10.4298,25/09/2010
10.4313,26/09/2010
10.4298,27/09/2010
10.4303,28/09/2010
10.4324,29/09/2010
10.4336,30/09/2010
10.4360,01/10/2010
10.4373,02/10/2010
10.4386,03/10/2010
10.4415,04/10/2010
10.4799,05/10/2010
10.4848,06/10/2010
10.4850,07/10/2010
10.4872,08/10/2010
10.4894,09/10/2010
10.4916,10/10/2010
10.4941,11/10/2010
10.5666,12/10/2010
10.5666,13/10/2010
10.5649,14/10/2010
10.5669,15/10/2010
10.5689,16/10/2010
10.5709,17/10/2010
10.5743,18/10/2010
10.5691,19/10/2010
10.5716,20/10/2010
10.5741,21/10/2010
10.5766,22/10/2010
10.5792,23/10/2010
10.5818,24/10/2010
10.5841,25/10/2010
10.5841,26/10/2010
10.5866,27/10/2010
10.5916,28/10/2010
10.5941,29/10/2010
10.5966,30/10/2010
10.5990,31/10/2010
10.6017,01/11/2010
10.6090,02/11/2010
10.6139,03/11/2010
10.6164,04/11/2010
10.6188,05/11/2010
10.6213,06/11/2010
10.6237,07/11/2010
10.6265,08/11/2010
10.6219,09/11/2010
10.6174,10/11/2010
10.6176,11/11/2010
10.6177,12/11/2010
10.6201,13/11/2010
10.6225,14/11/2010
10.6299,15/11/2010
10.6255,16/11/2010
10.6279,17/11/2010
10.6068,18/11/2010
10.6071,19/11/2010
10.6098,20/11/2010
10.6125,21/11/2010
10.6150,22/11/2010
10.6073,23/11/2010
10.6099,24/11/2010
10.6125,25/11/2010
10.6074,26/11/2010
10.6101,27/11/2010
10.6128,28/11/2010
10.6026,29/11/2010
10.6002,30/11/2010
10.5974,01/12/2010
10.5952,02/12/2010
10.5954,03/12/2010
10.5980,04/12/2010
10.6005,05/12/2010
10.5889,06/12/2010
10.5844,07/12/2010
10.5775,08/12/2010
10.5733,09/12/2010
10.5714,10/12/2010
10.5738,11/12/2010
10.5762,12/12/2010
10.5769,13/12/2010
10.5816,14/12/2010
10.5841,15/12/2010
10.5888,16/12/2010
10.5912,17/12/2010
10.5936,18/12/2010
10.5959,19/12/2010
10.6001,20/12/2010
10.6027,21/12/2010
10.6054,22/12/2010
10.6081,23/12/2010
10.6107,24/12/2010
10.6130,25/12/2010
10.6153,26/12/2010
10.6186,27/12/2010
10.6213,28/12/2010
10.6239,29/12/2010
10.6161,30/12/2010
10.6187,31/12/2010
10.6210,01/01/2011
10.6233,02/01/2011
10.6268,03/01/2011
10.6295,04/01/2011
10.6343,05/01/2011
10.6369,06/01/2011
10.6396,07/01/2011
