NAV,Date (DD/MM/YYYY)
0,06/10/2016
0,07/10/2016
0,08/10/2016
0,09/10/2016
0,10/10/2016
0,11/10/2016
0,12/10/2016
0,13/10/2016
10,14/10/2016
10,15/10/2016
10,16/10/2016
10,17/10/2016
10,18/10/2016
10,19/10/2016
10,20/10/2016
10,21/10/2016
10,22/10/2016
10,23/10/2016
10,24/10/2016
10,25/10/2016
10,26/10/2016
10,27/10/2016
10,28/10/2016
10,29/10/2016
10,30/10/2016
10,31/10/2016
10,01/11/2016
10,02/11/2016
10,03/11/2016
10,04/11/2016
10,05/11/2016
10,06/11/2016
10,07/11/2016
10,08/11/2016
10,09/11/2016
10,10/11/2016
10,11/11/2016
10,12/11/2016
10,13/11/2016
10,14/11/2016
10,15/11/2016
10,16/11/2016
10,17/11/2016
10,18/11/2016
10,19/11/2016
10,20/11/2016
10,21/11/2016
10,22/11/2016
10,23/11/2016
10,24/11/2016
10,25/11/2016
10,26/11/2016
10,27/11/2016
10.0038,28/11/2016
10.0051,29/11/2016
10.0070,30/11/2016
10.0088,01/12/2016
10.0097,02/12/2016
10.0097,03/12/2016
10.0097,04/12/2016
10.0145,05/12/2016
10.0162,06/12/2016
10.0179,07/12/2016
10.0182,08/12/2016
10.0198,09/12/2016
10.0198,10/12/2016
10.0198,11/12/2016
10.0198,12/12/2016
10.0251,13/12/2016
10.0269,14/12/2016
10.0283,15/12/2016
10.03,16/12/2016
10.03,17/12/2016
10.03,18/12/2016
10.0349,19/12/2016
10.0365,20/12/2016
10.0388,21/12/2016
10.0405,22/12/2016
10.0424,23/12/2016
10.0424,24/12/2016
10.0423,25/12/2016
10.0476,26/12/2016
10.0493,27/12/2016
10.0510,28/12/2016
10.0528,29/12/2016
10.0547,30/12/2016
10.0547,31/12/2016
10.0547,01/01/2017
10.0606,02/01/2017
10.0627,03/01/2017
10.0643,04/01/2017
10.0661,05/01/2017
10.0678,06/01/2017
10.0678,07/01/2017
10.0678,08/01/2017
10.0728,09/01/2017
10.0745,10/01/2017
10.0762,11/01/2017
10.0777,12/01/2017
10.0794,13/01/2017
10.0794,14/01/2017
10.0794,15/01/2017
10.0846,16/01/2017
10.0864,17/01/2017
10.0881,18/01/2017
10.0899,19/01/2017
10.0916,20/01/2017
10.0916,21/01/2017
10.0916,22/01/2017
10.0970,23/01/2017
10.0987,24/01/2017
10.1004,25/01/2017
10.1004,26/01/2017
10.1040,27/01/2017
10.1040,28/01/2017
10.1040,29/01/2017
10.1094,30/01/2017
10.1113,31/01/2017
10.1130,01/02/2017
10.1148,02/02/2017
10.1167,03/02/2017
10.1167,04/02/2017
10.1167,05/02/2017
10.1220,06/02/2017
10.1239,07/02/2017
10.1257,08/02/2017
10.1272,09/02/2017
10.1289,10/02/2017
10.1289,11/02/2017
10.1289,12/02/2017
10.1343,13/02/2017
10.1361,14/02/2017
10.1379,15/02/2017
10.1398,16/02/2017
10.1415,17/02/2017
10.1415,18/02/2017
10.1415,19/02/2017
10.1471,20/02/2017
10.1471,21/02/2017
10.1506,22/02/2017
10.1524,23/02/2017
10.1524,24/02/2017
10.1524,25/02/2017
10.1524,26/02/2017
10.1595,27/02/2017
10.1615,28/02/2017
10.1634,01/03/2017
10.1652,02/03/2017
10.1669,03/03/2017
10.1669,04/03/2017
10.1669,05/03/2017
10.1722,06/03/2017
10.1739,07/03/2017
10.1756,08/03/2017
10.1774,09/03/2017
10.1792,10/03/2017
10.1792,11/03/2017
10.1792,12/03/2017
10.1791,13/03/2017
10.1864,14/03/2017
10.1882,15/03/2017
10.1901,16/03/2017
10.1919,17/03/2017
10.1919,18/03/2017
10.1919,19/03/2017
10.1974,20/03/2017
10.1993,21/03/2017
10.2014,22/03/2017
10.2032,23/03/2017
10.2050,24/03/2017
10.2050,25/03/2017
10.2050,26/03/2017
10.2103,27/03/2017
10.2103,28/03/2017
10.2139,29/03/2017
10.2158,30/03/2017
10.2177,31/03/2017
10.2177,01/04/2017
10.2177,02/04/2017
10.2249,03/04/2017
10.2249,04/04/2017
10.2286,05/04/2017
10.2303,06/04/2017
10.2321,07/04/2017
10.2321,08/04/2017
10.2321,09/04/2017
10.2374,10/04/2017
10.2392,11/04/2017
10.2411,12/04/2017
10.2429,13/04/2017
10.2429,14/04/2017
10.2429,15/04/2017
10.2429,16/04/2017
10.25,17/04/2017
10.2518,18/04/2017
