NAV,Date (DD/MM/YYYY)
0,06/10/2016
0,07/10/2016
0,08/10/2016
0,09/10/2016
0,10/10/2016
0,11/10/2016
0,12/10/2016
0,13/10/2016
0,14/10/2016
0,15/10/2016
0,16/10/2016
1,17/10/2016
10,18/10/2016
10,19/10/2016
10,20/10/2016
10,21/10/2016
10,22/10/2016
10,23/10/2016
10,24/10/2016
10,25/10/2016
10,26/10/2016
10,27/10/2016
10,28/10/2016
10,29/10/2016
10,30/10/2016
10,31/10/2016
10,01/11/2016
10,02/11/2016
10,03/11/2016
10,04/11/2016
10,05/11/2016
10,06/11/2016
10,07/11/2016
10,08/11/2016
10,09/11/2016
10,10/11/2016
10,11/11/2016
10,12/11/2016
10,13/11/2016
10,14/11/2016
10,15/11/2016
10,16/11/2016
10,17/11/2016
10,18/11/2016
10,19/11/2016
10,20/11/2016
10,21/11/2016
10,22/11/2016
10,23/11/2016
10,24/11/2016
10,25/11/2016
10,26/11/2016
10,27/11/2016
10.0050,28/11/2016
10.0064,29/11/2016
10.0083,30/11/2016
10.0103,01/12/2016
10.0120,02/12/2016
10.0120,03/12/2016
10.0120,04/12/2016
10.0169,05/12/2016
10.0187,06/12/2016
10.0204,07/12/2016
10.0207,08/12/2016
10.0224,09/12/2016
10.0224,10/12/2016
10.0224,11/12/2016
10.0224,12/12/2016
10.0295,13/12/2016
10.0313,14/12/2016
10.0330,15/12/2016
10.0346,16/12/2016
10.0346,17/12/2016
10.0346,18/12/2016
10.0394,19/12/2016
10.0411,20/12/2016
10.0430,21/12/2016
10.0447,22/12/2016
10.0464,23/12/2016
10.0464,24/12/2016
10.0464,25/12/2016
10.0516,26/12/2016
10.0534,27/12/2016
10.0551,28/12/2016
10.0569,29/12/2016
10.0587,30/12/2016
10.0587,31/12/2016
10.0587,01/01/2017
10.0643,02/01/2017
10.0662,03/01/2017
10.0679,04/01/2017
10.0697,05/01/2017
10.0713,06/01/2017
10.0713,07/01/2017
10.0713,08/01/2017
10.0766,09/01/2017
10.0784,10/01/2017
10.0803,11/01/2017
10.0823,12/01/2017
10.0841,13/01/2017
10.0841,14/01/2017
10.0841,15/01/2017
10.0893,16/01/2017
10.0911,17/01/2017
10.0929,18/01/2017
10.0946,19/01/2017
10.0964,20/01/2017
10.0964,21/01/2017
10.0964,22/01/2017
10.1016,23/01/2017
10.1034,24/01/2017
10.1051,25/01/2017
10.1051,26/01/2017
10.1084,27/01/2017
10.1084,28/01/2017
10.1084,29/01/2017
10.1138,30/01/2017
10.1156,31/01/2017
10.1175,01/02/2017
10.1194,02/02/2017
10.1212,03/02/2017
10.1212,04/02/2017
10.1212,05/02/2017
10.1264,06/02/2017
10.1282,07/02/2017
10.1297,08/02/2017
10.1311,09/02/2017
10.1329,10/02/2017
10.1329,11/02/2017
10.1329,12/02/2017
10.1383,13/02/2017
10.1401,14/02/2017
10.1419,15/02/2017
10.1437,16/02/2017
10.1454,17/02/2017
10.1454,18/02/2017
10.1454,19/02/2017
10.1510,20/02/2017
10.1510,21/02/2017
10.1546,22/02/2017
10.1564,23/02/2017
10.1564,24/02/2017
10.1564,25/02/2017
10.1564,26/02/2017
10.1634,27/02/2017
10.1653,28/02/2017
10.1671,01/03/2017
10.1688,02/03/2017
10.1705,03/03/2017
10.1705,04/03/2017
10.1705,05/03/2017
10.1755,06/03/2017
10.1771,07/03/2017
10.1788,08/03/2017
10.1804,09/03/2017
10.1821,10/03/2017
10.1821,11/03/2017
10.1821,12/03/2017
10.1821,13/03/2017
10.1888,14/03/2017
10.1905,15/03/2017
10.1923,16/03/2017
10.1939,17/03/2017
10.1939,18/03/2017
10.1939,19/03/2017
10.2012,20/03/2017
10.2034,21/03/2017
10.2052,22/03/2017
10.2067,23/03/2017
10.2081,24/03/2017
10.2081,25/03/2017
10.2081,26/03/2017
10.2124,27/03/2017
10.2124,28/03/2017
10.2156,29/03/2017
10.2172,30/03/2017
10.2188,31/03/2017
10.2188,01/04/2017
10.2188,02/04/2017
10.2247,03/04/2017
10.2247,04/04/2017
10.2281,05/04/2017
10.2296,06/04/2017
10.2311,07/04/2017
10.2311,08/04/2017
10.2311,09/04/2017
10.2357,10/04/2017
10.2371,11/04/2017
10.2388,12/04/2017
10.2402,13/04/2017
10.2402,14/04/2017
10.2402,15/04/2017
10.2402,16/04/2017
10.2467,17/04/2017
