NAV,Date (DD/MM/YYYY)
0,30/11/2009
0,01/12/2009
0,02/12/2009
0,03/12/2009
0,04/12/2009
0,05/12/2009
0,06/12/2009
0,07/12/2009
0,08/12/2009
0,09/12/2009
0,10/12/2009
0,11/12/2009
0,12/12/2009
0,13/12/2009
10,14/12/2009
10,15/12/2009
10,16/12/2009
10,17/12/2009
10,18/12/2009
10,19/12/2009
10,20/12/2009
10,21/12/2009
10,22/12/2009
10,23/12/2009
10,24/12/2009
10,25/12/2009
10,26/12/2009
10,27/12/2009
10,28/12/2009
10,29/12/2009
10,30/12/2009
10,31/12/2009
10,01/01/2010
10,02/01/2010
10,03/01/2010
10,04/01/2010
10,05/01/2010
10,06/01/2010
10,07/01/2010
10,08/01/2010
10,09/01/2010
10,10/01/2010
10,11/01/2010
10,12/01/2010
10,13/01/2010
9.8778,14/01/2010
10.0439,15/01/2010
10.0439,16/01/2010
10.0439,17/01/2010
9.7725,18/01/2010
9.7290,19/01/2010
9.8595,20/01/2010
9.6248,21/01/2010
9.4386,22/01/2010
9.4386,23/01/2010
9.4386,24/01/2010
9.3790,25/01/2010
9.3790,26/01/2010
9.1710,27/01/2010
9.1649,28/01/2010
9.20,29/01/2010
9.20,30/01/2010
9.20,31/01/2010
9.1243,01/02/2010
9.1316,02/02/2010
9.2482,03/02/2010
9.2452,04/02/2010
8.9712,05/02/2010
8.9712,06/02/2010
8.9712,07/02/2010
9.2076,08/02/2010
9.1752,09/02/2010
9.4995,10/02/2010
9.4028,11/02/2010
9.4028,12/02/2010
9.4028,13/02/2010
9.4028,14/02/2010
9.4465,15/02/2010
9.4087,16/02/2010
9.6087,17/02/2010
9.4691,18/02/2010
9.4506,19/02/2010
9.4506,20/02/2010
9.4506,21/02/2010
9.2787,22/02/2010
9.5214,23/02/2010
9.3936,24/02/2010
9.4984,25/02/2010
9.5015,26/02/2010
9.5015,27/02/2010
9.5015,28/02/2010
9.5015,01/03/2010
9.7213,02/03/2010
9.8571,03/03/2010
9.8576,04/03/2010
9.9657,05/03/2010
9.9657,06/03/2010
9.9657,07/03/2010
9.9075,08/03/2010
9.8349,09/03/2010
9.8762,10/03/2010
9.9114,11/03/2010
9.9047,12/03/2010
9.9047,13/03/2010
9.9047,14/03/2010
9.9047,15/03/2010
9.9047,16/03/2010
9.9782,17/03/2010
9.9888,18/03/2010
10.0428,19/03/2010
10.0428,20/03/2010
10.0428,21/03/2010
10.0434,22/03/2010
10.0177,23/03/2010
10.0177,24/03/2010
10.1053,25/03/2010
10.0431,26/03/2010
10.0431,27/03/2010
10.0431,28/03/2010
10.2101,29/03/2010
10.1537,30/03/2010
10.1262,31/03/2010
10.1262,01/04/2010
10.1262,02/04/2010
10.1262,03/04/2010
10.1262,04/04/2010
10.3547,05/04/2010
10.3467,06/04/2010
10.3064,07/04/2010
10.2136,08/04/2010
10.3202,09/04/2010
10.3202,10/04/2010
10.3202,11/04/2010
10.3196,12/04/2010
10.2366,13/04/2010
10.2366,14/04/2010
10.2366,15/04/2010
10.1530,16/04/2010
10.1530,17/04/2010
10.1529,18/04/2010
10.0957,19/04/2010
10.1232,20/04/2010
10.0693,21/04/2010
10.0879,22/04/2010
10.1518,23/04/2010
10.1518,24/04/2010
10.1518,25/04/2010
10.2335,26/04/2010
10.2557,27/04/2010
10.0535,28/04/2010
10.0622,29/04/2010
10.2394,30/04/2010
10.2394,01/05/2010
10.2394,02/05/2010
10.0093,03/05/2010
10.0341,04/05/2010
9.9247,05/05/2010
9.8113,06/05/2010
9.7920,07/05/2010
9.7920,08/05/2010
9.7920,09/05/2010
9.9190,10/05/2010
9.9806,11/05/2010
9.9391,12/05/2010
9.9815,13/05/2010
9.9530,14/05/2010
9.9530,15/05/2010
9.9530,16/05/2010
9.7346,17/05/2010
9.7549,18/05/2010
9.8248,19/05/2010
9.5305,20/05/2010
9.6979,21/05/2010
9.6979,22/05/2010
9.6979,23/05/2010
9.7555,24/05/2010
9.4320,25/05/2010
9.4459,26/05/2010
9.4459,27/05/2010
9.7734,28/05/2010
9.7734,29/05/2010
9.7734,30/05/2010
9.7598,31/05/2010
9.8693,01/06/2010
9.6518,02/06/2010
9.8393,03/06/2010
9.7554,04/06/2010
9.7554,05/06/2010
9.7554,06/06/2010
9.7026,07/06/2010
9.7622,08/06/2010
9.8692,09/06/2010
9.6506,10/06/2010
9.7923,11/06/2010
9.7923,12/06/2010
9.7923,13/06/2010
10.0319,14/06/2010
10.0938,15/06/2010
10.0977,16/06/2010
10.1006,17/06/2010
10.1145,18/06/2010
10.1145,19/06/2010
10.1145,20/06/2010
10.2673,21/06/2010
10.2161,22/06/2010
10.1795,23/06/2010
10.1547,24/06/2010
10.1547,25/06/2010
10.1547,26/06/2010
10.1547,27/06/2010
10.2666,28/06/2010
10.1604,29/06/2010
10.2749,30/06/2010
10.2749,01/07/2010
10.2197,02/07/2010
10.2197,03/07/2010
10.2197,04/07/2010
10.0539,05/07/2010
10.2147,06/07/2010
10.2171,07/07/2010
10.1618,08/07/2010
10.3296,09/07/2010
10.3296,10/07/2010
10.3296,11/07/2010
10.2997,12/07/2010
10.3312,13/07/2010
10.3904,14/07/2010
10.4053,15/07/2010
10.3311,16/07/2010
10.3311,17/07/2010
10.3311,18/07/2010
10.3311,19/07/2010
10.2787,20/07/2010
10.3882,21/07/2010
10.5356,22/07/2010
10.4817,23/07/2010
10.4817,24/07/2010
10.4817,25/07/2010
10.3893,26/07/2010
10.4453,27/07/2010
10.3322,28/07/2010
10.3378,29/07/2010
10.3378,30/07/2010
10.3378,31/07/2010
10.3378,01/08/2010
10.3886,02/08/2010
10.3892,03/08/2010
10.3892,04/08/2010
10.4926,05/08/2010
10.4937,06/08/2010
10.4937,07/08/2010
10.4937,08/08/2010
10.4457,09/08/2010
10.4624,10/08/2010
10.3895,11/08/2010
10.3727,12/08/2010
10.2773,13/08/2010
10.2773,14/08/2010
10.2773,15/08/2010
10.5146,16/08/2010
10.5017,17/08/2010
10.5063,18/08/2010
10.5063,19/08/2010
10.4216,20/08/2010
10.4216,21/08/2010
10.4216,22/08/2010
10.4498,23/08/2010
10.5623,24/08/2010
10.3929,25/08/2010
10.4491,26/08/2010
10.4210,27/08/2010
10.4210,28/08/2010
10.4210,29/08/2010
10.3650,30/08/2010
10.3355,31/08/2010
10.4261,01/09/2010
10.4261,02/09/2010
10.4813,03/09/2010
10.4813,04/09/2010
10.4813,05/09/2010
10.6193,06/09/2010
10.6193,07/09/2010
10.6170,08/09/2010
10.6730,09/09/2010
10.6730,10/09/2010
10.6730,11/09/2010
10.6730,12/09/2010
10.9142,13/09/2010
11.0461,14/09/2010
11.1523,15/09/2010
11.0717,16/09/2010
11.1491,17/09/2010
11.1491,18/09/2010
11.1491,19/09/2010
11.3695,20/09/2010
11.4489,21/09/2010
11.3675,22/09/2010
11.3393,23/09/2010
11.3112,24/09/2010
11.3112,25/09/2010
11.3112,26/09/2010
11.4770,27/09/2010
11.3725,28/09/2010
11.3177,29/09/2010
11.3177,30/09/2010
11.5173,01/10/2010
11.5173,02/10/2010
11.5173,03/10/2010
11.7771,04/10/2010
11.7566,05/10/2010
11.6654,06/10/2010
11.5255,07/10/2010
11.4706,08/10/2010
11.4706,09/10/2010
11.4706,10/10/2010
11.6921,11/10/2010
11.4739,12/10/2010
11.7418,13/10/2010
11.7197,14/10/2010
11.5267,15/10/2010
11.5267,16/10/2010
11.5267,17/10/2010
11.4716,18/10/2010
11.5540,19/10/2010
11.5009,20/10/2010
11.4170,21/10/2010
11.5793,22/10/2010
11.5793,23/10/2010
11.5793,24/10/2010
11.6043,25/10/2010
11.4710,26/10/2010
11.3611,27/10/2010
11.5506,28/10/2010
11.3064,29/10/2010
11.3064,30/10/2010
11.3064,31/10/2010
11.5258,01/11/2010
11.5428,02/11/2010
11.6259,03/11/2010
11.8073,04/11/2010
11.8073,05/11/2010
11.8073,06/11/2010
11.8073,07/11/2010
11.8943,08/11/2010
11.8519,09/11/2010
11.8725,10/11/2010
11.7901,11/11/2010
11.7846,12/11/2010
11.7846,13/11/2010
11.7846,14/11/2010
11.8393,15/11/2010
11.7971,16/11/2010
11.7971,17/11/2010
11.3891,18/11/2010
11.4090,19/11/2010
11.4090,20/11/2010
11.4090,21/11/2010
11.5820,22/11/2010
11.2033,23/11/2010
11.2351,24/11/2010
11.2366,25/11/2010
11.1973,26/11/2010
11.1973,27/11/2010
11.1973,28/11/2010
11.1138,29/11/2010
11.1825,30/11/2010
11.4057,01/12/2010
11.35,02/12/2010
11.4183,03/12/2010
11.4183,04/12/2010
11.4183,05/12/2010
11.4674,06/12/2010
11.3781,07/12/2010
11.4617,08/12/2010
11.1807,09/12/2010
11.0879,10/12/2010
11.0879,11/12/2010
11.0879,12/12/2010
11.0907,13/12/2010
11.2546,14/12/2010
11.2825,15/12/2010
11.1987,16/12/2010
11.1987,17/12/2010
11.1987,18/12/2010
11.1987,19/12/2010
11.5338,20/12/2010
11.4502,21/12/2010
11.5903,22/12/2010
11.4223,23/12/2010
11.4223,24/12/2010
11.4223,25/12/2010
11.4223,26/12/2010
11.5431,27/12/2010
11.6438,28/12/2010
11.6438,29/12/2010
11.7557,30/12/2010
11.8680,31/12/2010
11.8680,01/01/2011
11.8680,02/01/2011
11.8669,03/01/2011
11.8392,04/01/2011
11.7959,05/01/2011
11.5877,06/01/2011
