NAV,Date (DD/MM/YYYY)
0,30/11/2009
0,01/12/2009
0,02/12/2009
0,03/12/2009
0,04/12/2009
0,05/12/2009
0,06/12/2009
0,07/12/2009
0,08/12/2009
0,09/12/2009
0,10/12/2009
0,11/12/2009
0,12/12/2009
0,13/12/2009
10,14/12/2009
10,15/12/2009
10,16/12/2009
10,17/12/2009
10,18/12/2009
10,19/12/2009
10,20/12/2009
10,21/12/2009
10,22/12/2009
10,23/12/2009
10,24/12/2009
10,25/12/2009
10,26/12/2009
10,27/12/2009
10,28/12/2009
10,29/12/2009
10,30/12/2009
10,31/12/2009
10,01/01/2010
10,02/01/2010
10,03/01/2010
10,04/01/2010
10,05/01/2010
10,06/01/2010
10,07/01/2010
10,08/01/2010
10,09/01/2010
10,10/01/2010
10,11/01/2010
10,12/01/2010
10,13/01/2010
10,14/01/2010
10,15/01/2010
10,16/01/2010
10,17/01/2010
9.4253,18/01/2010
9.4253,19/01/2010
9.4253,20/01/2010
9.4253,21/01/2010
9.4253,22/01/2010
9.4253,23/01/2010
9.4253,24/01/2010
9.4253,25/01/2010
9.4253,26/01/2010
9.4253,27/01/2010
9.4253,28/01/2010
9.4253,29/01/2010
9.4253,30/01/2010
9.4253,31/01/2010
9.4253,01/02/2010
9.4253,02/02/2010
9.4253,03/02/2010
9.4264,04/02/2010
9.4275,05/02/2010
9.4286,06/02/2010
9.4298,07/02/2010
9.5213,08/02/2010
9.5224,09/02/2010
10.0081,10/02/2010
10.0092,11/02/2010
10.0103,12/02/2010
10.0114,13/02/2010
10.0125,14/02/2010
10.0148,15/02/2010
10.0161,16/02/2010
10.0174,17/02/2010
10.0186,18/02/2010
10.0199,19/02/2010
10.0212,20/02/2010
10.0224,21/02/2010
10.0237,22/02/2010
10.0249,23/02/2010
10.0261,24/02/2010
10.0272,25/02/2010
10.0284,26/02/2010
10.0296,27/02/2010
10.0308,28/02/2010
10.0320,01/03/2010
10.0332,02/03/2010
10.0342,03/03/2010
10.0352,04/03/2010
10.0363,05/03/2010
10.0372,06/03/2010
10.0382,07/03/2010
10.0397,08/03/2010
10.0410,09/03/2010
10.0423,10/03/2010
10.0437,11/03/2010
10.0450,12/03/2010
10.0462,13/03/2010
10.0474,14/03/2010
10.0487,15/03/2010
10.0499,16/03/2010
10.0512,17/03/2010
10.0526,18/03/2010
10.0539,19/03/2010
10.0552,20/03/2010
10.0566,21/03/2010
10.0579,22/03/2010
10.0593,23/03/2010
10.0606,24/03/2010
10.0619,25/03/2010
10.0632,26/03/2010
10.0646,27/03/2010
10.0659,28/03/2010
10.0672,29/03/2010
10.0685,30/03/2010
10.0694,31/03/2010
10.0707,01/04/2010
10.0720,02/04/2010
10.0733,03/04/2010
10.0745,04/04/2010
10.0758,05/04/2010
10.0771,06/04/2010
10.0783,07/04/2010
10.0796,08/04/2010
10.0808,09/04/2010
10.0820,10/04/2010
10.0833,11/04/2010
10.0845,12/04/2010
10.0858,13/04/2010
10.0872,14/04/2010
10.0885,15/04/2010
10.0898,16/04/2010
10.0912,17/04/2010
10.0925,18/04/2010
10.0938,19/04/2010
10.0951,20/04/2010
10.0964,21/04/2010
10.0977,22/04/2010
10.0992,23/04/2010
10.1005,24/04/2010
10.1018,25/04/2010
10.1030,26/04/2010
10.1043,27/04/2010
10.1056,28/04/2010
10.1068,29/04/2010
10.1082,30/04/2010
10.1095,01/05/2010
10.1108,02/05/2010
10.1122,03/05/2010
10.1135,04/05/2010
10.1148,05/05/2010
10.1160,06/05/2010
10.1173,07/05/2010
10.1187,08/05/2010
10.12,09/05/2010
10.1213,10/05/2010
10.1226,11/05/2010
10.1238,12/05/2010
10.1252,13/05/2010
10.1266,14/05/2010
10.1279,15/05/2010
10.1292,16/05/2010
10.1305,17/05/2010
10.1319,18/05/2010
10.1332,19/05/2010
10.1345,20/05/2010
10.1358,21/05/2010
10.1371,22/05/2010
10.1384,23/05/2010
10.1397,24/05/2010
10.1410,25/05/2010
10.1423,26/05/2010
10.1436,27/05/2010
10.1449,28/05/2010
10.1462,29/05/2010
10.1475,30/05/2010
10.1487,31/05/2010
10.15,01/06/2010
10.1514,02/06/2010
10.1527,03/06/2010
10.1541,04/06/2010
10.1554,05/06/2010
10.1567,06/06/2010
10.1580,07/06/2010
10.1593,08/06/2010
10.1606,09/06/2010
10.1619,10/06/2010
10.1631,11/06/2010
10.1644,12/06/2010
10.1657,13/06/2010
10.1671,14/06/2010
10.1684,15/06/2010
10.1698,16/06/2010
10.1710,17/06/2010
10.1723,18/06/2010
10.1736,19/06/2010
10.1749,20/06/2010
10.1762,21/06/2010
10.1775,22/06/2010
10.1788,23/06/2010
10.18,24/06/2010
10.1813,25/06/2010
10.1826,26/06/2010
10.1838,27/06/2010
10.1852,28/06/2010
10.1865,29/06/2010
10.1878,30/06/2010
10.1891,01/07/2010
10.1904,02/07/2010
10.1917,03/07/2010
10.1930,04/07/2010
10.1943,05/07/2010
10.19,06/07/2010
10.1913,07/07/2010
10.1926,08/07/2010
10.1939,09/07/2010
10.1951,10/07/2010
10.1964,11/07/2010
10.1980,12/07/2010
10.1993,13/07/2010
10.2006,14/07/2010
10.2019,15/07/2010
10.2031,16/07/2010
10.2044,17/07/2010
10.2057,18/07/2010
10.2070,19/07/2010
10.2083,20/07/2010
10.2096,21/07/2010
10.2109,22/07/2010
10.2121,23/07/2010
10.2134,24/07/2010
10.2146,25/07/2010
10.2159,26/07/2010
10.2172,27/07/2010
10.2185,28/07/2010
10.2198,29/07/2010
10.2211,30/07/2010
10.2224,31/07/2010
10.2237,01/08/2010
10.2250,02/08/2010
10.2263,03/08/2010
10.2276,04/08/2010
10.2288,05/08/2010
10.2301,06/08/2010
10.2314,07/08/2010
10.2326,08/08/2010
10.2339,09/08/2010
10.2352,10/08/2010
10.2366,11/08/2010
10.2378,12/08/2010
10.2392,13/08/2010
10.2405,14/08/2010
10.2418,15/08/2010
10.2431,16/08/2010
10.2446,17/08/2010
10.2460,18/08/2010
10.2473,19/08/2010
10.2487,20/08/2010
10.2501,21/08/2010
10.2514,22/08/2010
10.2528,23/08/2010
10.2541,24/08/2010
10.2554,25/08/2010
10.2568,26/08/2010
10.2581,27/08/2010
10.2594,28/08/2010
10.2607,29/08/2010
10.2621,30/08/2010
10.2634,31/08/2010
10.2648,01/09/2010
10.2661,02/09/2010
10.2675,03/09/2010
10.2688,04/09/2010
10.2701,05/09/2010
10.2715,06/09/2010
10.2729,07/09/2010
10.2744,08/09/2010
10.2759,09/09/2010
10.2773,10/09/2010
10.2787,11/09/2010
10.2801,12/09/2010
10.2816,13/09/2010
10.2830,14/09/2010
10.2844,15/09/2010
10.2859,16/09/2010
10.2873,17/09/2010
10.2887,18/09/2010
10.2902,19/09/2010
10.2916,20/09/2010
10.2930,21/09/2010
10.2944,22/09/2010
10.2958,23/09/2010
10.2972,24/09/2010
10.2985,25/09/2010
10.2999,26/09/2010
10.3013,27/09/2010
10.3027,28/09/2010
10.3041,29/09/2010
10.3053,30/09/2010
10.3068,01/10/2010
10.3083,02/10/2010
10.3097,03/10/2010
10.3112,04/10/2010
10.3127,05/10/2010
10.3141,06/10/2010
10.3156,07/10/2010
10.3170,08/10/2010
10.3185,09/10/2010
10.32,10/10/2010
10.3213,11/10/2010
10.3227,12/10/2010
10.3242,13/10/2010
10.3257,14/10/2010
10.3271,15/10/2010
10.3286,16/10/2010
10.3301,17/10/2010
10.3315,18/10/2010
10.3330,19/10/2010
10.3345,20/10/2010
10.3363,21/10/2010
10.3379,22/10/2010
10.3394,23/10/2010
10.3408,24/10/2010
10.3423,25/10/2010
10.3438,26/10/2010
10.3452,27/10/2010
10.3467,28/10/2010
10.3483,29/10/2010
10.3498,30/10/2010
10.3513,31/10/2010
10.3528,01/11/2010
10.3543,02/11/2010
10.3558,03/11/2010
10.3573,04/11/2010
10.3589,05/11/2010
10.3604,06/11/2010
10.3620,07/11/2010
10.3635,08/11/2010
10.3650,09/11/2010
10.3665,10/11/2010
10.3681,11/11/2010
10.3696,12/11/2010
10.3710,13/11/2010
10.3725,14/11/2010
10.3739,15/11/2010
10.3752,16/11/2010
10.3765,17/11/2010
10.3778,18/11/2010
10.3652,19/11/2010
10.3654,20/11/2010
10.3657,21/11/2010
10.3792,22/11/2010
10.3797,23/11/2010
10.3739,24/11/2010
10.3758,25/11/2010
10.3948,26/11/2010
10.3969,27/11/2010
10.3989,28/11/2010
10.3986,29/11/2010
10.3931,30/11/2010
10.3826,01/12/2010
10.3830,02/12/2010
10.3877,03/12/2010
10.3896,04/12/2010
10.3914,05/12/2010
10.3473,06/12/2010
10.3555,07/12/2010
10.3508,08/12/2010
10.3512,09/12/2010
10.3462,10/12/2010
10.3475,11/12/2010
10.3487,12/12/2010
10.3638,13/12/2010
10.3879,14/12/2010
10.3954,15/12/2010
10.4202,16/12/2010
10.4223,17/12/2010
10.4244,18/12/2010
10.4265,19/12/2010
10.4673,20/12/2010
10.4835,21/12/2010
10.4619,22/12/2010
10.4704,23/12/2010
10.4846,24/12/2010
10.4869,25/12/2010
10.4891,26/12/2010
10.4980,27/12/2010
10.5077,28/12/2010
10.5054,29/12/2010
10.5073,30/12/2010
10.4813,31/12/2010
10.4835,01/01/2011
10.4857,02/01/2011
10.5069,03/01/2011
10.4805,04/01/2011
10.4892,05/01/2011
10.4535,06/01/2011
10.44,07/01/2011
10.4421,08/01/2011
