Date (DD/MM/YYYY),NAV
21/11/2016,10.0000
22/11/2016,10.0000
23/11/2016,10.0024
24/11/2016,10.0046
25/11/2016,10.0067
28/11/2016,10.0117
29/11/2016,10.0133
30/11/2016,10.0150
01/12/2016,10.0168
02/12/2016,10.0186
05/12/2016,10.0236
06/12/2016,10.0254
07/12/2016,10.0272
08/12/2016,10.0278
09/12/2016,10.0296
13/12/2016,10.0368
14/12/2016,10.0387
15/12/2016,10.0404
16/12/2016,10.0423
19/12/2016,10.0475
20/12/2016,10.0492
21/12/2016,10.0509
22/12/2016,10.0527
23/12/2016,10.0544
26/12/2016,10.0599
27/12/2016,10.0617
28/12/2016,10.0634
29/12/2016,10.0653
30/12/2016,10.0671
02/01/2017,10.0728
03/01/2017,10.0747
04/01/2017,10.0766
05/01/2017,10.0784
06/01/2017,10.0801
09/01/2017,10.0856
10/01/2017,10.0874
11/01/2017,10.0890
12/01/2017,10.0908
13/01/2017,10.0926
16/01/2017,10.0979
17/01/2017,10.0997
18/01/2017,10.1016
19/01/2017,10.1035
20/01/2017,10.1054
23/01/2017,10.1110
24/01/2017,10.1128
25/01/2017,10.1145
27/01/2017,10.1181
30/01/2017,10.1236
31/01/2017,10.1254
01/02/2017,10.1272
02/02/2017,10.1292
03/02/2017,10.1309
06/02/2017,10.1364
07/02/2017,10.1382
08/02/2017,10.1400
09/02/2017,10.1418
10/02/2017,10.1435
13/02/2017,10.1489
14/02/2017,10.1507
15/02/2017,10.1526
16/02/2017,10.1543
17/02/2017,10.1562
20/02/2017,10.1618
22/02/2017,10.1657
23/02/2017,10.1676
27/02/2017,10.1749
28/02/2017,10.1768
01/03/2017,10.1787
02/03/2017,10.1806
03/03/2017,10.1824
06/03/2017,10.1879
07/03/2017,10.1896
08/03/2017,10.1913
09/03/2017,10.1931
10/03/2017,10.1949
14/03/2017,10.2023
15/03/2017,10.2041
16/03/2017,10.2059
17/03/2017,10.2078
20/03/2017,10.2132
21/03/2017,10.2150
22/03/2017,10.2170
23/03/2017,10.2189
24/03/2017,10.2207
27/03/2017,10.2262
29/03/2017,10.2299
30/03/2017,10.2316
31/03/2017,10.2335
03/04/2017,10.2400
05/04/2017,10.2436
06/04/2017,10.2454
07/04/2017,10.2472
10/04/2017,10.2526
11/04/2017,10.2545
12/04/2017,10.2564
13/04/2017,10.2582
17/04/2017,10.2656
18/04/2017,10.2674
19/04/2017,10.2693
20/04/2017,10.2711
21/04/2017,10.2729
24/04/2017,10.2783
25/04/2017,10.2801
26/04/2017,10.2819
27/04/2017,10.2837
28/04/2017,10.2856
02/05/2017,10.2930
03/05/2017,10.2948
04/05/2017,10.2966
05/05/2017,10.2985
08/05/2017,10.3038
09/05/2017,10.3056
11/05/2017,10.3094
12/05/2017,10.3111
15/05/2017,10.3168
16/05/2017,10.3187
17/05/2017,10.3205
18/05/2017,10.3224
19/05/2017,10.3243
22/05/2017,10.3298
23/05/2017,10.3317
24/05/2017,10.3335
25/05/2017,10.3353
26/05/2017,10.3371
29/05/2017,10.3425
30/05/2017,10.3444
31/05/2017,10.3462
01/06/2017,10.3481
02/06/2017,10.3499
05/06/2017,10.3553
06/06/2017,10.3571
07/06/2017,10.3589
08/06/2017,10.3607
09/06/2017,10.3625
12/06/2017,10.3680
13/06/2017,10.3758
14/06/2017,37.0564
15/06/2017,50.4175
06/06/2018,.0.0000
08/10/2018,0.000
06/12/2018,0.00
02/01/2019,11.4774
11/02/2019,0.00
22/02/2019,0.00
25/02/2019,0.00
27/02/2019,0.00
08/03/2019,0.00
04/04/2019,0.00
02/05/2019,11.8933
06/06/2019,12.0852
22/08/2019,0.00
06/11/2019,0.00
02/12/2019,12.7559
13/12/2019,12.8654
03/07/2020,1.0000
