Date (MM/DD/YYYY),Pension Fund Manager Id,Pension Fund Manager,Pension Scheme Id,Pension Scheme,Net Asset Value (INR)
04/02/2026,PFM011,TATA PENSION FUND MANAGEMENT PRIVATE LIMITED,SM011013,NPS TRUST A/C TATA PENSION FUND MANAGEMENT PRIVATE LIMITED SCHEME G - TIER I GS,12.4196
04/06/2026,PFM011,TATA PENSION FUND MANAGEMENT PRIVATE LIMITED,SM011013,NPS TRUST A/C TATA PENSION FUND MANAGEMENT PRIVATE LIMITED SCHEME G - TIER I GS,12.5032
04/07/2026,PFM011,TATA PENSION FUND MANAGEMENT PRIVATE LIMITED,SM011013,NPS TRUST A/C TATA PENSION FUND MANAGEMENT PRIVATE LIMITED SCHEME G - TIER I GS,12.5224
04/08/2026,PFM011,TATA PENSION FUND MANAGEMENT PRIVATE LIMITED,SM011013,NPS TRUST A/C TATA PENSION FUND MANAGEMENT PRIVATE LIMITED SCHEME G - TIER I GS,12.6634
04/09/2026,PFM011,TATA PENSION FUND MANAGEMENT PRIVATE LIMITED,SM011013,NPS TRUST A/C TATA PENSION FUND MANAGEMENT PRIVATE LIMITED SCHEME G - TIER I GS,12.6315
04/10/2026,PFM011,TATA PENSION FUND MANAGEMENT PRIVATE LIMITED,SM011013,NPS TRUST A/C TATA PENSION FUND MANAGEMENT PRIVATE LIMITED SCHEME G - TIER I GS,12.6818
04/13/2026,PFM011,TATA PENSION FUND MANAGEMENT PRIVATE LIMITED,SM011013,NPS TRUST A/C TATA PENSION FUND MANAGEMENT PRIVATE LIMITED SCHEME G - TIER I GS,12.6633
04/15/2026,PFM011,TATA PENSION FUND MANAGEMENT PRIVATE LIMITED,SM011013,NPS TRUST A/C TATA PENSION FUND MANAGEMENT PRIVATE LIMITED SCHEME G - TIER I GS,12.7153
