Date,NAV
10-Aug-2021,31.1691
09-Aug-2021,31.1791
06-Aug-2021,31.1596
05-Aug-2021,31.2618
04-Aug-2021,31.2519
03-Aug-2021,31.2195
02-Aug-2021,31.1386
30-Jul-2021,31.0673
29-Jul-2021,31.0774
28-Jul-2021,31.07
27-Jul-2021,31.0771
26-Jul-2021,31.0838
23-Jul-2021,31.0581
22-Jul-2021,31.0485
20-Jul-2021,31.0096
19-Jul-2021,31.0149
16-Jul-2021,31.0165
15-Jul-2021,31.0252
14-Jul-2021,30.985
13-Jul-2021,30.9692
12-Jul-2021,30.9187
09-Jul-2021,30.9388
08-Jul-2021,30.9485
07-Jul-2021,30.9333
06-Jul-2021,30.9093
05-Jul-2021,30.9922
02-Jul-2021,30.9447
01-Jul-2021,30.9541
30-Jun-2021,30.9536
29-Jun-2021,30.9643
29-Jun-2021,30.9643
28-Jun-2021,30.9939
25-Jun-2021,31.0519
24-Jun-2021,31.0484
23-Jun-2021,31.0253
22-Jun-2021,31.0489
21-Jun-2021,31.0454
18-Jun-2021,31.0085
17-Jun-2021,31.0283
16-Jun-2021,31.0518
15-Jun-2021,31.1344
14-Jun-2021,31.1814
11-Jun-2021,31.1692
10-Jun-2021,31.1296
09-Jun-2021,31.0885
08-Jun-2021,31.0847
07-Jun-2021,31.0575
04-Jun-2021,30.9958
03-Jun-2021,30.9951
02-Jun-2021,30.9611
01-Jun-2021,30.9393
31-May-2021,30.951
28-May-2021,30.9402
27-May-2021,30.9526
25-May-2021,30.9118
24-May-2021,30.8862
21-May-2021,30.8634
20-May-2021,30.7751
19-May-2021,30.7912
18-May-2021,30.7891
17-May-2021,30.7403
12-May-2021,30.6729
11-May-2021,30.7059
10-May-2021,30.7008
07-May-2021,30.6502
06-May-2021,30.6224
05-May-2021,30.5611
04-May-2021,30.4847
03-May-2021,30.5155
30-Apr-2021,30.4939
29-Apr-2021,30.5313
28-Apr-2021,30.5035
27-Apr-2021,30.449
26-Apr-2021,30.3902
23-Apr-2021,30.2925
22-Apr-2021,30.3295
20-Apr-2021,30.2723
19-Apr-2021,30.2867
19-Apr-2021,30.2867
19-Apr-2021,30.2867
16-Apr-2021,30.344
15-Apr-2021,30.3334
09-Apr-2021,30.4722
08-Apr-2021,30.484
07-Apr-2021,30.4211
06-Apr-2021,30.3233
05-Apr-2021,30.2747
31-Mar-2021,30.2459
30-Mar-2021,30.2676
26-Mar-2021,30.1567
25-Mar-2021,30.086
24-Mar-2021,30.1559
23-Mar-2021,30.1644
22-Mar-2021,30.0435
19-Mar-2021,29.9546
18-Mar-2021,29.8238
17-Mar-2021,29.877
16-Mar-2021,29.946
15-Mar-2021,29.9233
12-Mar-2021,29.967
10-Mar-2021,30.0356
09-Mar-2021,30.0038
08-Mar-2021,30.0009
05-Mar-2021,29.983
04-Mar-2021,30.0498
03-Mar-2021,30.0752
02-Mar-2021,29.9956
01-Mar-2021,29.9081
26-Feb-2021,29.7939
25-Feb-2021,30.0336
24-Feb-2021,29.9999
23-Feb-2021,29.9181
22-Feb-2021,29.9027
18-Feb-2021,30.146
17-Feb-2021,30.1913
16-Feb-2021,30.2346
15-Feb-2021,30.2413
12-Feb-2021,30.2204
11-Feb-2021,30.2308
10-Feb-2021,30.1659
09-Feb-2021,30.1566
08-Feb-2021,30.2349
05-Feb-2021,30.1242
04-Feb-2021,30.2468
03-Feb-2021,30.162
02-Feb-2021,30.0812
01-Feb-2021,30.0856
29-Jan-2021,30.1482
28-Jan-2021,30.2127
27-Jan-2021,30.2305
25-Jan-2021,30.2887
22-Jan-2021,30.3022
21-Jan-2021,30.3466
20-Jan-2021,30.3649
19-Jan-2021,30.3288
18-Jan-2021,30.2519
15-Jan-2021,30.3057
14-Jan-2021,30.4061
13-Jan-2021,30.4004
12-Jan-2021,30.4012
11-Jan-2021,30.3931
08-Jan-2021,30.3964
07-Jan-2021,30.3155
06-Jan-2021,30.3054
05-Jan-2021,30.3191
04-Jan-2021,30.2626
01-Jan-2021,30.1739
31-Dec-2020,30.1557
30-Dec-2020,30.1396
29-Dec-2020,30.118
28-Dec-2020,30.0964
24-Dec-2020,30.0137
23-Dec-2020,29.9571
22-Dec-2020,29.897
21-Dec-2020,29.8414
18-Dec-2020,29.9969
17-Dec-2020,30.0028
16-Dec-2020,29.9956
15-Dec-2020,29.9633
14-Dec-2020,29.9508
11-Dec-2020,29.9035
10-Dec-2020,29.91
09-Dec-2020,29.9791
08-Dec-2020,29.8782
07-Dec-2020,29.8773
04-Dec-2020,29.8373
03-Dec-2020,29.7477
02-Dec-2020,29.7293
01-Dec-2020,29.7182
27-Nov-2020,29.6701
26-Nov-2020,29.6762
25-Nov-2020,29.6076
25-Nov-2020,29.6076
24-Nov-2020,29.6411
24-Nov-2020,29.6411
23-Nov-2020,29.5903
20-Nov-2020,29.5608
19-Nov-2020,29.5211
18-Nov-2020,29.545
17-Nov-2020,29.5035
13-Nov-2020,29.4361
12-Nov-2020,29.3995
11-Nov-2020,29.4096
10-Nov-2020,29.3536
09-Nov-2020,29.3283
06-Nov-2020,29.2621
05-Nov-2020,29.2204
03-Nov-2020,29.078
02-Nov-2020,29.0619
29-Oct-2020,29.0415
28-Oct-2020,29.0792
27-Oct-2020,29.1279
26-Oct-2020,29.1023
23-Oct-2020,29.0435
22-Oct-2020,28.9898
21-Oct-2020,28.9878
20-Oct-2020,28.948
19-Oct-2020,28.9399
16-Oct-2020,28.8972
15-Oct-2020,28.8704
14-Oct-2020,28.9388
13-Oct-2020,28.9189
12-Oct-2020,28.9025
09-Oct-2020,28.8525
08-Oct-2020,28.6448
07-Oct-2020,28.5943
06-Oct-2020,28.5723
05-Oct-2020,28.5683
01-Oct-2020,28.5164
30-Sep-2020,28.4407
29-Sep-2020,28.41
28-Sep-2020,28.4446
25-Sep-2020,28.3942
24-Sep-2020,28.3491
23-Sep-2020,28.4624
22-Sep-2020,28.477
21-Sep-2020,28.5108
18-Sep-2020,28.59
17-Sep-2020,28.5835
16-Sep-2020,28.6273
15-Sep-2020,28.5828
15-Sep-2020,28.5828
14-Sep-2020,28.5545
11-Sep-2020,28.5411
10-Sep-2020,28.5382
09-Sep-2020,28.5143
08-Sep-2020,28.5074
07-Sep-2020,28.632
04-Sep-2020,28.6744
03-Sep-2020,28.7682
02-Sep-2020,28.691
01-Sep-2020,28.6632
31-Aug-2020,28.3378
28-Aug-2020,28.3505
27-Aug-2020,28.3474
26-Aug-2020,28.3347
25-Aug-2020,28.3193
24-Aug-2020,28.2851
21-Aug-2020,28.3623
20-Aug-2020,28.5561
19-Aug-2020,28.5716
18-Aug-2020,28.5865
17-Aug-2020,28.569
14-Aug-2020,28.5482
12-Aug-2020,28.6028
11-Aug-2020,28.6
10-Aug-2020,28.5966
07-Aug-2020,28.5855
06-Aug-2020,28.6138
05-Aug-2020,28.6386
04-Aug-2020,28.6227
03-Aug-2020,28.5549
31-Jul-2020,28.5834
30-Jul-2020,28.5817
29-Jul-2020,28.6
28-Jul-2020,28.5879
27-Jul-2020,28.5508
24-Jul-2020,28.5907
21-Jul-2020,28.562
20-Jul-2020,28.5345
17-Jul-2020,28.4997
16-Jul-2020,28.4451
15-Jul-2020,28.3786
14-Jul-2020,28.3463
13-Jul-2020,28.4205
10-Jul-2020,28.371
09-Jul-2020,28.3249
08-Jul-2020,28.274
07-Jul-2020,28.237
06-Jul-2020,28.179
03-Jul-2020,28.0985
02-Jul-2020,28.0695
01-Jul-2020,28.0033
30-Jun-2020,27.9297
29-Jun-2020,27.8884
26-Jun-2020,27.8994
25-Jun-2020,27.8438
24-Jun-2020,27.8224
23-Jun-2020,27.8818
22-Jun-2020,27.8229
18-Jun-2020,27.6752
