Date (MM/DD/YYYY),NSDL Published NAV,Fund Manager Published NAV
08/04/2020,13.9367,13.5535
07/09/2020,13.8288,13.8178
06/30/2020,13.7045,13.8891
06/24/2020,13.6448,13.648
06/10/2020,13.6201,13.801
05/18/2020,13.4636,13.4857
05/13/2020,13.4051,13.3661
03/17/2020,13.0599,12.4798
03/11/2020,13.1976,13.2478
01/10/2020,12.5810,13.8042
12/13/2019,12.3312,12.3517
12/10/2019,12.3877,12.4058
12/03/2019,12.5046,12.4918
11/21/2019,12.4449,12.4571
10/24/2019,12.4012,12.4027
10/07/2019,12.3871,12.3858
07/29/2019,12.3888,12.3481
07/26/2019,12.3481,12.3602
05/06/2019,11.4135,11.3981
04/15/2019,11.3412,11.3353
02/22/2019,11.1643,11.325
01/14/2019,11.1712,11.1386
01/04/2019,11.1007,11.1131
07/04/2018,10.3006,10.2878
04/12/2018,10.4264,10.4112
01/09/2018,10.3266,10.2317
07/19/2017,10.5379,10.5173
05/29/2017,10.1566,10.1659
