Date (MM/DD/YYYY),NSDL Published NAV,Fund Manager Published NAV
07/09/2020,11.8553,11.7338
06/30/2020,11.3492,11.875
06/24/2020,11.3011,11.4953
06/10/2020,11.0920,12.5706
05/18/2020,9.6823,9.739
05/13/2020,10.2302,10.0243
03/11/2020,11.1856,11.2504
01/10/2020,12.9825,12.3557
12/13/2019,12.7536,12.627
12/10/2019,12.5174,12.6131
12/03/2019,12.7397,12.8173
11/21/2019,12.7010,12.6404
10/24/2019,12.2968,12.3429
10/07/2019,11.8218,11.8818
07/29/2019,11.7912,11.8617
07/26/2019,11.8617,11.8282
05/06/2019,12.0295,12.1319
04/15/2019,12.1834,12.1795
01/14/2019,11.4512,11.5022
01/04/2019,11.4235,11.3971
07/04/2018,11.6891,11.6076
04/12/2018,11.3184,11.3043
01/09/2018,11.6376,11.9632
07/19/2017,10.5230,10.4525
