Date (MM/DD/YYYY),NSDL Published NAV,Fund Manager Published NAV
07/09/2020,11.8008,11.679
06/30/2020,11.2963,11.8135
06/24/2020,11.2476,11.4392
06/10/2020,11.0381,12.5051
05/18/2020,9.6148,9.6703
05/13/2020,10.1884,9.9712
03/11/2020,11.1070,11.172
01/10/2020,12.8892,12.2867
12/13/2019,12.6533,12.5299
12/10/2019,12.4214,12.5158
12/03/2019,12.6374,12.7154
11/21/2019,12.6052,12.5469
10/24/2019,12.2141,12.2618
10/07/2019,11.7599,11.8204
07/29/2019,11.7096,11.7806
07/26/2019,11.7806,11.7435
05/06/2019,11.9549,12.0576
04/15/2019,12.1058,12.1068
02/22/2019,11.3250,11.4614
01/14/2019,11.3864,11.4373
01/04/2019,11.3617,11.3362
07/04/2018,11.6541,11.5735
06/25/2018,11.5639,11.5984
06/22/2018,11.6264,11.6598
01/09/2018,11.6210,11.9361
07/19/2017,10.4500,10.381
