Date (MM/DD/YYYY),NSDL Published NAV,Fund Manager Published NAV
07/09/2020,12.1481,12.1469
06/30/2020,12.1395,12.1527
06/24/2020,12.1342,12.1333
06/10/2020,12.1206,12.2425
05/18/2020,12.0980,12.0991
05/13/2020,12.0935,12.0926
04/23/2020,12.0721,12.8104
04/17/2020,12.0659,12.5027
03/11/2020,12.0529,12.0484
01/10/2020,11.9472,12.2355
12/13/2019,11.8999,11.8982
12/10/2019,11.8946,11.8926
12/03/2019,11.8837,11.8821
11/21/2019,11.8624,11.864
10/24/2019,11.8144,11.8128
10/07/2019,11.7837,11.7775
07/29/2019,11.6507,11.6448
07/26/2019,11.6448,11.6428
05/06/2019,11.4658,11.4593
04/15/2019,11.4207,11.4145
02/22/2019,11.2971,10.7715
01/14/2019,11.2120,11.2055
01/04/2019,11.1902,11.1883
07/04/2018,10.7837,10.7814
04/12/2018,10.6116,10.6097
01/09/2018,10.4206,10.4575
07/19/2017,10.1120,10.1101
