"Month (MM)","Day (DD)","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","Average Across Years"
01,01,0,33.128353,-2.3906791,6.295598,30.641924,3.0447955,11.733539,16.921412,25.42,5.217915,23.520441,14.871823,15.309556
01,02,0,36.895287,-3.6855595,6.601069,30.229828,1.9395843,13.9860935,15.88701,25.42,5.750114,22.49069,17.123411,15.694321
01,03,0,37.192543,-3.6855595,6.9276805,30.01824,0.7817817,14.594189,16.429344,27.213839,4.471976,21.753214,16.968834,15.696916
01,04,0,37.192543,-5.62619,9.0151205,30.972567,0.49468783,14.200707,17.554726,27.150557,2.6150067,23.767904,16.083351,15.765542
01,05,0,36.913235,-5.398791,10.309138,30.130655,-0.07850081,14.200707,18.015074,27.50166,1.8088056,23.919205,16.083351,15.76405
01,06,0,33.33635,-3.0704472,10.504445,30.668737,-0.07850081,12.083285,20.075808,26.658884,1.9554058,24.739439,14.166636,15.549094
01,07,0,33.59813,-5.090958,13.204017,30.668737,0.30094287,12.066075,19.826595,26.879288,1.6197429,24.739439,14.531281,15.667572
01,08,0,35.58748,-6.1441913,12.629978,31.53815,-0.08905533,11.658735,21.7674,24.97015,1.6197429,23.83588,15.037957,15.67384
01,09,0,36.514267,-6.6975384,12.572206,31.700056,0.1423919,13.102025,19.84973,24.97015,2.9009144,22.57707,13.993578,15.602259
01,10,0,36.514267,-6.6975384,13.348876,30.654182,0.04768142,13.743984,19.417105,26.19523,0.9679752,23.9012,12.888107,15.543733
01,11,0,36.514267,-7.2072573,15.397844,29.130627,-0.40183404,14.176516,20.082355,25.725878,0.66740847,24.375656,12.587112,15.54987
01,12,0,37.141068,-8.284482,16.58578,29.049662,-0.65236104,14.176516,20.577908,26.311562,-0.39400142,24.60395,12.587112,15.609338
01,13,0,34.601776,-7.55394,15.752456,29.315613,-0.65236104,14.950572,20.036236,26.362976,-0.15824096,23.979351,10.570009,15.200405
01,14,0,34.25128,-7.7288322,16.274626,29.315613,-1.0599047,15.62007,20.176414,25.96914,-0.13250242,23.979351,11.231775,15.263367
01,15,0,36.837524,-11.504959,18.15769,29.521698,-0.047443073,14.20112,18.813368,27.48756,-0.13250242,26.19454,9.37602,15.354965
01,16,0,37.20968,-11.711265,18.425398,28.537094,0.55653673,14.262237,18.67186,27.48756,-0.45958704,26.16951,10.447573,15.417873
01,17,0,38.277355,-11.711265,18.29998,29.63562,-0.203745,14.382592,18.56347,27.8155,-0.016874945,23.159864,12.100153,15.4820595
01,18,0,38.277355,-12.821196,20.261477,28.982964,-0.23416913,14.561023,16.953741,28.178991,1.6909112,21.926922,12.544384,15.483856
01,19,0,38.871925,-12.227248,19.2573,29.475357,-0.8811105,14.561023,18.86263,24.988981,2.3303342,23.39023,11.515263,15.467698
01,20,0,40.259026,-15.198308,20.051302,30.935219,-0.8811105,13.448402,20.98792,22.920252,2.7547338,23.95768,11.9374,15.561136
01,21,0,40.633774,-15.918209,20.60419,30.935219,-0.45387655,12.495994,20.869148,22.374102,3.742262,23.95768,10.366096,15.418762
01,22,0,40.584465,-14.474156,18.124626,31.767467,-1.3119024,12.328627,19.699678,24.041342,3.742262,23.95768,10.6071005,15.369744
01,23,0,41.707787,-15.18514,18.829569,32.505398,-3.106841,14.002721,18.74913,24.041342,4.156155,21.24409,13.110442,15.459516
01,24,0,43.344448,-15.18514,19.814865,31.151037,-2.8443208,14.672198,17.974485,20.874731,6.7595153,22.641178,11.126944,15.48454
01,25,0,43.344448,-15.060941,21.440592,28.937477,-3.5851038,15.794008,16.998503,22.916258,4.491941,23.698029,11.622225,15.508857
01,26,0,43.344448,-15.060941,21.440592,28.937477,-3.5851038,15.794008,16.998503,22.916258,4.491941,23.698029,11.622225,15.508857
01,27,0,47.29133,-15.694102,21.688543,28.554792,-3.5851038,14.985105,15.849958,23.821068,3.8666558,25.635723,10.160113,15.688553
01,28,0,47.542458,-15.894931,21.929317,28.554792,-4.7826385,15.69153,15.769831,24.628359,3.9255438,25.635723,10.640402,15.785489
01,29,0,48.258026,-14.7326355,19.750198,28.873913,-4.980509,16.361652,13.35656,26.498102,3.9255438,27.74935,9.982012,15.912928
01,30,0,46.962406,-13.362202,19.586205,28.256279,-4.096688,14.988706,14.356793,26.498102,4.056629,26.414337,11.445864,15.918766
01,31,0,46.332508,-13.362202,18.582813,28.889511,-2.3537693,12.755332,14.941959,28.228426,3.0022888,27.162191,11.65855,15.985236
02,01,0,46.332508,-13.533063,21.27594,26.316927,-1.8880808,12.184084,20.179184,24.203531,1.5066954,27.316103,11.742542,15.966943
02,02,0,46.159416,-14.7434025,23.471825,22.934336,0.54327196,12.184084,23.075966,22.544584,0.8248408,27.630095,11.063603,15.971692
02,03,0,47.492104,-15.419676,25.0627,22.91166,0.54327196,10.13109,26.552242,20.103598,3.145399,26.105373,10.310473,16.085295
02,04,0,46.976448,-14.715432,24.479012,22.91166,0.3926889,12.579521,25.162909,18.6898,3.3922892,26.105373,12.15625,16.193684
02,05,0,46.2999,-13.43719,22.824787,22.164762,1.1842935,13.289711,24.19243,18.65853,3.3922892,25.79995,12.387977,16.068855
02,06,0,45.09079,-12.910927,23.697577,19.55184,3.8466108,12.600784,23.532003,18.65853,3.0938082,27.27639,10.865197,15.936601
02,07,0,44.464985,-12.910927,23.333557,19.882767,4.180031,11.97907,23.84296,18.65853,2.791862,27.950726,10.397207,15.870069
02,08,0,44.464985,-13.947952,24.867954,21.039877,1.8829912,13.365433,25.502497,15.467656,4.909428,26.334524,11.09143,15.907165
