"Month (MM)","Day (DD)","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","Average Across Years"
01,01,0,-21.985128,1.8307781,9.825969,17.056826,22.435066,5.2433977,24.708061,15.037193,9.730683,9.320316
01,02,0,-22.116144,0.4932942,12.456619,16.03492,22.435066,5.7771306,23.667612,17.354612,8.710301,9.423713
01,03,0,-21.856829,-1.0034021,13.347511,16.475603,24.189013,4.4865923,22.78171,17.371994,9.265372,9.45084
01,04,0,-21.306128,-1.4750534,13.093115,17.503675,24.180708,2.576095,24.940336,16.472246,9.265372,9.472263
01,05,0,-21.042034,-1.8045919,13.093115,17.999418,24.368652,1.7993423,25.1753,16.472246,9.042416,9.455985
01,06,0,-21.042034,-1.8045919,11.010679,19.848246,23.724365,1.9302443,26.047962,14.358128,10.824993,9.43311
01,07,0,-21.042034,-1.421721,10.985449,19.424911,24.119595,1.592903,26.047962,14.72227,10.545047,9.441598
01,08,0,-20.62099,-1.6488723,10.535473,21.422298,22.206232,1.592903,25.132063,15.263075,9.388548,9.252303
01,09,0,-20.69742,-1.1634153,11.749297,19.628677,22.206232,2.9220214,23.73516,14.207874,9.433974,9.1136
01,10,0,-21.00041,-0.9251463,12.378052,19.128416,23.441034,0.92909026,25.160349,12.988186,10.399549,9.166569
01,11,0,-20.959469,-1.2544671,12.694434,20.355803,22.487734,0.53416884,25.735363,12.631615,10.399549,9.180526
01,12,0,-20.602568,-1.6983417,12.694434,20.922169,22.877726,-0.41667354,25.940392,12.631615,10.620958,9.218857
01,13,0,-20.602568,-1.6983417,13.586255,20.048954,23.133148,-0.18277317,25.305054,10.455425,12.516965,9.173569
01,14,0,-20.602568,-2.1358144,14.4128065,20.023024,22.899723,-0.2503019,25.305054,11.054531,11.888604,9.177228
01,15,0,-20.119425,-1.7034432,13.12585,18.660025,24.415525,-0.2503019,27.596836,9.32685,11.615364,9.185253
01,16,0,-20.95401,-0.7139508,13.007035,18.84262,24.415525,-0.55837035,27.60854,10.376013,11.14162,9.240559
01,17,0,-20.703564,-1.2005031,13.199657,18.848108,24.716578,-0.062290754,24.509762,12.103299,11.326509,9.193062
01,18,0,-20.618263,-1.6625642,13.609343,17.446135,24.857664,1.6439866,23.300133,12.504133,11.326509,9.156342
01,19,0,-20.233383,-2.1370497,13.609343,19.218988,21.866955,2.3038151,24.811172,11.452794,10.975194,9.096425
01,20,0,-20.233383,-2.1370497,12.861905,20.84892,19.954239,2.7426462,25.38172,11.989515,8.700004,8.900947
01,21,0,-20.233383,-1.6596822,11.87125,20.767365,19.476892,3.6313636,25.38172,10.298887,9.87764,8.823562
01,22,0,-20.0389,-2.247066,11.656863,19.733528,21.169973,3.6313636,25.38172,10.424564,10.568048,8.920011
01,23,0,-19.175653,-3.7639296,13.088903,18.798151,21.169973,4.093239,22.62341,12.901488,8.811615,8.727467
01,24,0,-19.280062,-3.5785825,13.746995,18.036276,18.15688,6.676954,24.22325,10.664716,9.653918,8.700038
01,25,0,-19.379007,-4.9415135,15.519482,16.836119,20.2949,4.4549365,25.310305,11.177545,9.653918,8.769631
01,26,0,-19.379007,-4.9415135,15.519482,16.836119,20.2949,4.4549365,25.310305,11.177545,9.653918,8.769631
01,27,0,-19.379007,-4.9415135,14.5213,15.923859,21.20838,3.879661,27.13732,9.539693,11.934174,8.869319
01,28,0,-19.379007,-5.5644913,14.799936,15.304501,22.338535,3.902658,27.13732,10.017348,12.663855,9.024517
01,29,0,-18.547157,-6.780275,15.622644,13.293331,23.95765,3.902658,29.418337,9.397893,11.304841,9.063325
01,30,0,-18.985266,-6.1456037,14.41444,14.33043,23.95765,3.9917693,28.107769,10.852782,10.683393,9.023041
01,31,0,-19.478645,-3.9492831,11.92119,14.9045725,25.621426,2.91102,29.126408,10.950685,9.397193,9.044951
02,01,0,-19.08626,-3.5556705,10.923876,19.801807,22.095215,1.3781304,29.175064,11.102283,9.397193,9.025738
02,02,0,-21.250854,-0.9046845,10.923876,22.816467,20.281916,0.7449903,29.86354,10.11344,8.114002,8.966967
02,03,0,-21.250854,-0.9046845,8.882861,26.1033,18.028214,3.1523507,28.245382,9.2070875,11.509313,9.219219
02,04,0,-21.250854,-1.0719342,11.568654,24.121252,16.955946,3.388897,28.245382,11.0014305,9.856688,9.201717
02,05,0,-21.916885,0.27355117,12.023249,23.105711,16.854683,3.388897,27.97127,11.23797,9.355924,9.143819
02,06,0,-23.025793,3.2970407,10.934888,22.41331,16.854683,3.1157792,29.326172,9.779698,9.842773,9.17095
02,07,0,-23.058554,3.639915,10.193063,22.88199,16.854683,2.7928982,30.099121,9.371979,9.941468,9.190729
02,08,0,-22.188482,1.2339345,11.5505295,24.37852,13.800921,4.920465,28.54461,10.020262,9.941468,9.13358
02,09,0,-22.785593,2.0167916,11.5505295,24.42666,15.02141,3.9661489,28.50558,9.842861,11.062591,9.289664
02,10,0,-22.785593,2.0167916,10.828028,25.278471,15.7484255,3.1216626,28.702406,8.801875,12.364493,9.34184
02,11,0,-22.785593,1.3035797,12.281794,25.093424,13.688914,4.5143614,28.702406,6.8746486,14.491805,9.351705
02,12,0,-21.999458,0.09361364,13.226231,24.052624,13.901145,4.5143614,27.21209,8.039592,13.894563,9.214973
02,13,0,-21.999458,-0.7051477,13.919438,24.289604,13.901145,4.0248475,28.515526,7.4009027,12.433698,9.086729
02,14,0,-22.152317,-1.2728114,14.178786,24.965206,10.5962,7.8491197,28.585592,5.722425,13.3989315,9.096793
02,15,0,-21.931215,-1.6852815,14.333086,25.98857,12.81363,5.459165,28.44107,5.2505517,13.3989315,9.118723
02,16,0,-22.704386,-0.70186234,14.333086,25.925577,12.626754,5.7928157,29.015896,4.6767974,14.314604,9.253254
02,17,0,-22.704386,-0.70186234,13.612035,26.08072,13.004081,5.4294724,29.687363,4.6988873,14.555232,9.295727
02,18,0,-22.704386,-1.4231571,14.068083,25.921566,13.233571,5.6953583,29.687363,4.6988873,15.041363,9.357627
02,19,0,-22.704386,-1.4231571,14.068083,25.921566,13.233571,5.6953583,29.687363,4.6988873,15.041363,9.357627
02,20,0,-23.59561,0.74757004,13.697698,25.051657,13.233571,5.231156,31.042793,4.560186,13.633105,9.289125
02,21,0,-23.490513,1.0132252,13.242914,25.051657,12.832645,5.523291,30.432138,4.595134,14.215415,9.268435
02,22,0,-23.8092,1.4330484,13.245917,21.439213,15.398686,4.836142,33.23498,3.7718463,14.215415,9.307339
02,23,0,-23.109049,0.509423,13.245917,21.765915,15.008386,4.668047,33.719177,3.6347945,14.815384,9.3619995
02,24,0,-23.109049,0.509423,11.055186,26.07379,8.213773,9.360255,33.961468,2.6175966,14.985888,9.296482
02,25,0,-23.109049,1.2043401,9.983946,27.224962,10.099463,6.813594,33.961468,2.3995962,15.758247,9.37073
02,26,0,-22.19189,-0.42975563,9.173788,24.487476,13.857784,6.813594,33.53727,2.7248795,16.098173,9.341257
02,27,0,-22.510578,-0.123289905,8.894046,24.936026,13.857784,6.395217,34.372147,2.226874,14.975932,9.224906
02,28,0,-22.967794,0.34814778,5.176737,29.508144,14.828,5.005214,33.480976,1.3775918,17.258978,9.335111
02,29,0,0,0,0,29.508144,0,0,0,0.9503512,0,15.229248
03,01,0,-23.283066,1.2479857,4.6703687,31.290083,13.269491,5.826437,34.909176,-0.47400197,17.258978,9.412829
03,02,0,-23.283066,1.2479857,3.8375037,33.68333,10.883976,6.2482867,35.8883,-0.47400197,15.896529,9.325428
03,03,0,-23.283066,1.2479857,5.435585,34.008556,8.078346,8.609048,33.992302,-0.061672587,15.418358,9.271716
03,04,0,-23.283066,1.2479857,4.9435997,33.54849,7.392567,10.193323,34.577103,-0.4959515,13.491513,9.068397
03,05,0,-24.345572,3.8028607,3.9511602,32.32297,8.227726,10.193323,34.34033,1.1162783,13.21518,9.202695
03,06,0,-25.096218,5.2366853,1.2977045,35.281292,8.227726,10.851172,33.992775,1.7947575,11.093696,9.186621
03,07,0,-25.599152,6.040704,1.2092072,35.281292,5.6552978,13.550106,34.25079,1.5194944,11.180827,9.232062
03,08,0,-25.023205,5.2343197,1.2013351,35.689804,6.4028964,12.772139,33.82306,1.5194944,11.180827,9.200074
03,09,0,-25.259314,5.5667586,-3.3747876,43.09434,7.8603787,9.537153,34.98433,1.5194944,9.254061,9.24249
03,10,0,-25.259314,5.5667586,-3.3747876,43.75493,8.888992,7.012851,36.234325,0.8715347,11.104495,9.422198
03,11,0,-25.259314,6.988358,-5.213391,44.596203,9.151752,6.75524,35.396996,1.8240951,9.160571,9.266724
03,12,0,-23.88563,6.2947135,-13.642155,55.50716,10.102624,6.75524,35.02722,1.8829081,8.756585,9.644298
03,13,0,-23.706837,6.3434696,-10.527204,49.67286,10.102624,5.076978,34.535107,3.5461915,6.581376,9.069395
03,14,0,-23.806475,6.499547,-10.541497,49.67286,11.549092,3.2803295,36.35828,2.5911353,6.581376,9.131627
03,15,0,-24.26846,7.5114665,-10.842911,48.698013,11.167731,3.8488648,36.14001,3.2159042,6.581376,9.116888
03,16,0,-25.409447,9.156033,-17.371119,60.32135,13.256692,2.217762,35.866962,3.2159042,7.009662,9.807088
03,17,0,-25.409447,9.156033,-19.284575,62.005733,16.572453,1.2739533,34.972935,3.7577243,7.496416,10.060136
03,18,0,-25.409447,9.25301,-23.538136,68.97712,17.875734,1.2739533,34.972935,5.46724,6.6231923,10.610622
03,19,0,-26.024296,10.813256,-25.828714,75.33194,16.422466,1.2739533,33.50924,7.326607,5.924698,10.972128
03,20,0,-25.614166,10.042657,-21.435242,65.76719,16.422466,0.65649855,34.48991,8.355946,2.4027154,10.120886
03,21,0,-25.63669,10.075988,-21.435242,65.76719,15.270871,2.35791,34.94121,8.172079,1.53874,10.116895
03,22,0,-25.966291,10.236987,-21.200722,65.904076,16.290588,1.3766483,35.655727,7.6023226,1.53874,10.159786
03,23,0,-26.755835,11.425299,-30.557299,89.176384,15.317839,1.5973336,35.83997,7.6023226,-1.3766887,11.363259
03,24,0,-26.755835,11.425299,-29.272127,82.90636,16.977024,0.9442893,36.86683,8.923702,-0.7534291,11.251347
03,25,0,-26.755835,10.391124,-28.60953,80.15771,18.316154,1.3244449,36.86683,8.538567,1.3548689,11.287147
03,26,0,-25.747242,10.02941,-23.047363,67.316826,16.966047,1.3244449,36.68948,7.9709897,2.0198627,10.391384
03,27,0,-25.256588,8.843323,-22.719454,67.316826,16.966047,1.455895,37.01367,8.260619,-0.47210112,10.156471
03,28,0,-25.607346,10.379308,-23.435549,67.316826,17.35983,0.922008,38.628635,6.8675294,-0.15822999,10.252557
03,29,0,-25.607346,10.709539,-23.663933,67.316826,18.099377,1.0211521,37.62533,6.8675294,-0.15822999,10.245583
03,30,0,-25.607346,10.709539,-26.28221,76.804535,16.929108,-0.013584441,37.62533,6.8675294,-0.15822999,10.763852
03,31,0,-25.607346,10.709539,-23.466732,68.904816,17.718277,1.7304025,35.46819,6.8683753,-2.2673943,10.006458
04,01,0,-25.607346,10.709539,-23.466732,68.904816,17.718277,1.7304025,35.46819,6.8683753,-2.2673943,10.006458
04,02,0,-25.607346,11.565384,-24.053837,68.904816,17.718277,1.7304025,36.500122,5.41897,-0.26297078,10.2126465
04,03,0,-24.712706,9.382194,-27.465885,78.23654,17.718277,1.9803268,36.20831,5.2153955,-0.10133112,10.717902
04,04,0,-25.466084,10.041931,-27.171982,78.23654,21.276287,-1.0115778,36.48061,3.0028913,1.8408984,10.80328
04,05,0,-23.93749,8.420803,-27.56852,77.60249,21.302078,0.0965129,35.391003,3.0270762,1.8408984,10.686095
04,06,0,-23.847414,8.292559,-27.56852,78.0012,20.278158,0.97650826,35.05044,3.0270762,3.0429664,10.805887
04,07,0,-23.847414,8.292559,-21.172876,65.00771,18.374811,1.6993527,35.05044,-0.18821223,6.9417725,10.017572
04,08,0,-23.847414,7.863322,-20.851707,65.37945,18.95758,0.9641155,35.85421,0.93900275,8.9192505,10.4642
