Date (MM/DD/YYYY),NSDL Published NAV,Fund Manager Published NAV
06/11/2018,11.1404,10.6438
06/11/2018,11.1404,10.6458
06/15/2018,11.0600,10.9523
07/11/2018,10.8239,10.8297
10/16/2018,10.8536,11.3153
10/19/2018,10.8818,10.8682
12/10/2018,11.1193,11.2166
01/04/2019,11.3689,11.3975
01/15/2019,11.3833,11.4313
02/22/2019,11.1486,11.1531
02/25/2019,11.1592,11.1533
07/12/2019,12.1639,12.1312
08/22/2019,12.3327,12.3548
01/20/2020,12.7527,12.7466
03/23/2020,12.6532,12.6829
03/23/2020,12.6532,12.6848
03/26/2020,12.5806,12.6095
03/30/2020,12.7778,12.7312
03/30/2020,12.7778,12.7331
04/03/2020,12.7888,12.7862
04/03/2020,12.7888,12.7881
04/07/2020,12.7853,12.7944
04/07/2020,12.7853,12.7925
04/07/2020,12.7853,12.7907
04/13/2020,12.7470,12.7329
04/13/2020,12.7470,12.7365
04/13/2020,12.7470,12.7347
04/15/2020,12.7457,12.7489
07/08/2020,13.2415,13.2392
09/08/2020,13.3933,13.3986
