Date (MM/DD/YYYY),NSDL Published NAV,Fund Manager Published NAV
08/07/2014,14.787,14.7870
05/05/2015,16.3937,16.3938
11/21/2015,17.2974,17.3012
12/07/2015,17.3208,17.3207
06/18/2016,18.0627,18.0667
08/26/2016,18.8908,18.8907
06/11/2018,20.7459,20.6798
06/11/2018,20.7459,20.6844
06/15/2018,20.7785,20.7470
07/11/2018,20.9913,20.9958
10/16/2018,21.1921,21.1633
10/19/2018,21.2196,21.2118
12/10/2018,21.6586,21.7328
01/04/2019,21.9391,21.9390
01/15/2019,22.0834,22.0644
02/22/2019,22.1055,22.1045
02/25/2019,22.1081,22.1152
07/12/2019,23.8084,23.7902
08/22/2019,23.9122,23.8713
01/20/2020,24.4087,24.4017
03/23/2020,24.3787,24.4060
03/23/2020,24.3787,24.4008
03/26/2020,24.3948,24.3687
03/30/2020,25.2097,25.2117
03/30/2020,25.2097,25.2166
04/03/2020,25.2063,25.2845
04/03/2020,25.2063,25.2796
04/07/2020,25.0853,25.2221
04/07/2020,25.0853,25.2168
04/07/2020,25.0853,25.2115
04/13/2020,24.7359,24.7184
04/13/2020,24.7359,24.7131
04/13/2020,24.7359,24.7236
04/15/2020,24.8220,24.7412
07/08/2020,26.6023,26.5149
09/08/2020,26.7154,26.7868
