Date (MM/DD/YYYY),NSDL Published NAV,Fund Manager Published NAV
02/13/2015,18.6441,18.6440
11/21/2015,20.0259,20.0303
01/18/2016,20.1266,20.1265
06/18/2016,21.0035,21.0082
06/11/2018,24.1120,24.1138
06/11/2018,24.1120,24.1193
06/15/2018,24.2219,24.1984
07/11/2018,24.4684,24.4730
10/16/2018,24.5881,24.5702
10/19/2018,24.6291,24.6255
12/10/2018,25.1264,25.2035
01/04/2019,25.4208,25.4262
01/15/2019,25.6117,25.5961
02/22/2019,25.6754,25.6766
02/25/2019,25.6907,25.6870
07/12/2019,27.6556,27.6172
08/22/2019,27.5507,27.5046
01/20/2020,27.9239,27.9179
03/23/2020,27.9097,27.9381
03/23/2020,27.9097,27.9441
03/26/2020,27.9339,27.9091
03/30/2020,28.8818,28.8294
03/30/2020,28.8818,28.8351
04/03/2020,28.8850,28.9685
04/03/2020,28.8850,28.9627
04/07/2020,28.7470,28.8971
04/07/2020,28.7470,28.8910
04/07/2020,28.7470,28.9031
04/13/2020,28.3470,28.3172
04/13/2020,28.3470,28.3110
04/13/2020,28.3470,28.3233
04/15/2020,28.4469,28.3532
07/08/2020,30.2828,30.1872
09/08/2020,30.3937,30.4796
10/26/2020,31.0172,30.9046
10/26/2020,31.0172,30.8985
