Date,NAV
13-Apr-18,10.0000
12-Apr-18,10.0000
11-Apr-18,10.0000
10-Apr-18,10.0000
9-Apr-18,10.0000
8-Apr-18,10.0000
7-Apr-18,10.0000
6-Apr-18,10.0000
5-Apr-18,10.0000
4-Apr-18,10.0000
3-Apr-18,10.0000
2-Apr-18,10.0000
1-Apr-18,10.0000
31-Mar-18,10.0000
30-Mar-18,10.0000
29-Mar-18,10.0000
28-Mar-18,10.0000
27-Mar-18,10.0000
26-Mar-18,10.0000
25-Mar-18,10.0000
24-Mar-18,10.0000
23-Mar-18,10.0000
22-Mar-18,10.0000
21-Mar-18,10.0000
20-Mar-18,10.0000
19-Mar-18,10.0000
18-Mar-18,10.0000
17-Mar-18,10.0000
16-Mar-18,10.0000
15-Mar-18,10.0000
14-Mar-18,10.0000
13-Mar-18,10.0000
12-Mar-18,10.0000
11-Mar-18,10.0000
10-Mar-18,10.0000
9-Mar-18,10.0000
8-Mar-18,10.0000
7-Mar-18,10.0000
6-Mar-18,10.0000
5-Mar-18,10.0000
4-Mar-18,10.0000
3-Mar-18,10.0000
2-Mar-18,10.0000
1-Mar-18,10.0000
28-Feb-18,10.0000
27-Feb-18,10.0000
26-Feb-18,10.0000
25-Feb-18,10.0000
24-Feb-18,10.0000
23-Feb-18,10.0000
22-Feb-18,10.0000
21-Feb-18,10.0000
20-Feb-18,10.0000
19-Feb-18,10.0000
18-Feb-18,10.0000
17-Feb-18,10.0000
16-Feb-18,10.0000
15-Feb-18,10.0000
14-Feb-18,10.0000
13-Feb-18,10.0000
12-Feb-18,10.0000
11-Feb-18,10.0000
10-Feb-18,10.0000
9-Feb-18,10.0000
8-Feb-18,10.0000
7-Feb-18,10.0000
6-Feb-18,10.0000
5-Feb-18,10.0000
4-Feb-18,10.0000
3-Feb-18,10.0000
2-Feb-18,10.0000
1-Feb-18,10.0000
31-Jan-18,10.0000
30-Jan-18,10.0000
29-Jan-18,10.0000
28-Jan-18,10.0000
27-Jan-18,10.0000
26-Jan-18,10.0000
25-Jan-18,10.0000
24-Jan-18,10.0000
23-Jan-18,10.0000
22-Jan-18,10.0000
21-Jan-18,10.0000
20-Jan-18,10.0000
19-Jan-18,10.0000
18-Jan-18,10.0000
17-Jan-18,10.0000
16-Jan-18,10.0000
15-Jan-18,10.0000
