Date (YYYY-MM-DD),NAV
2008-03-31,10
2008-04-01,10
2008-04-02,10.0008
2008-04-03,10.0037
2008-04-04,10.0057
2008-04-05,10.0078
2008-04-06,10.0098
2008-04-07,10.0116
2008-04-08,10.0132
2008-04-09,10.0153
2008-04-10,10.0174
2008-04-11,10.0196
2008-04-12,10.0219
2008-04-13,10.0241
2008-04-14,10.0263
2008-04-15,10.0286
2008-04-16,10.0309
2008-04-17,10.0332
2008-04-18,10.0354
2008-04-19,10.0377
2008-04-20,10.04
2008-04-21,10.0419
2008-04-22,10.0443
2008-04-23,10.0466
2008-04-24,10.049
2008-04-25,10.0513
2008-04-26,10.0536
2008-04-27,10.056
2008-04-28,10.0587
2008-04-29,10.0611
2008-04-30,10.0634
2008-05-01,10.0658
2008-05-02,10.0681
2008-05-03,10.0704
2008-05-04,10.0726
2008-05-05,10.0749
2008-05-06,10.0773
2008-05-07,10.0796
2008-05-08,10.0819
2008-05-09,10.0843
2008-05-10,10.0866
2008-05-11,10.0889
2008-05-12,10.0913
2008-05-13,10.0936
2008-05-14,10.096
2008-05-15,10.0983
2008-05-16,10.1006
2008-05-17,10.103
2008-05-18,10.1053
2008-05-19,10.1076
2008-05-20,10.11
2008-05-21,10.1123
2008-05-22,10.1146
2008-05-23,10.117
2008-05-24,10.1195
2008-05-25,10.1218
2008-05-26,10.1241
2008-05-27,10.1264
2008-05-28,10.1288
2008-05-29,10.1311
2008-05-30,10.1325
2008-05-31,10.1349
2008-06-01,10.1372
2008-06-02,10.1395
2008-06-03,10.1418
2008-06-04,10.1441
2008-06-05,10.1464
2008-06-06,10.1487
2008-06-07,10.151
2008-06-08,10.1533
2008-06-09,10.1556
2008-06-10,10.1579
2008-06-11,10.1602
2008-06-12,10.1626
2008-06-13,10.1648
2008-06-14,10.1671
2008-06-15,10.1693
2008-06-16,10.1717
2008-06-17,10.1741
2008-06-18,10.1765
2008-06-19,10.1789
2008-06-20,10.1812
2008-06-21,10.1836
2008-06-22,10.1859
2008-06-23,10.1883
2008-06-24,10.1907
2008-06-25,10.1931
2008-06-26,10.1955
2008-06-27,10.1979
2008-06-28,10.2004
2008-06-29,10.2028
2008-06-30,10.2052
2008-07-01,10.2076
2008-07-02,10.21
2008-07-03,10.2125
2008-07-04,10.2149
2008-07-05,10.2173
2008-07-06,10.2197
2008-07-07,10.2221
2008-07-08,10.2246
2008-07-09,10.227
2008-07-10,10.2294
2008-07-11,10.2319
2008-07-12,10.2344
2008-07-13,10.2369
2008-07-14,10.2394
2008-07-15,10.2419
2008-07-16,10.2444
2008-07-17,10.2469
2008-07-18,10.2494
2008-07-19,10.252
2008-07-20,10.2545
2008-07-21,10.2571
2008-07-22,10.2596
2008-07-23,10.2622
2008-07-24,10.2647
2008-07-25,10.2678
2008-07-26,10.2702
2008-07-27,10.2725
2008-07-28,10.2749
2008-07-29,10.2774
2008-07-30,10.2789
2008-07-31,10.2815
2008-08-01,10.2839
2008-08-02,10.2866
2008-08-03,10.2892
2008-08-04,10.2918
2008-08-05,10.2944
2008-08-06,10.2967
2008-08-07,10.2994
2008-08-08,10.302
2008-08-09,10.3046
2008-08-10,10.3072
2008-08-11,10.3092
2008-08-12,10.3118
2008-08-13,10.3144
2008-08-14,10.317
2008-08-15,10.3197
2008-08-16,10.3223
2008-08-17,10.325
2008-08-18,10.3277
2008-08-19,10.3304
2008-08-20,10.333
2008-08-21,10.3357
2008-08-22,10.3384
2008-08-23,10.341
2008-08-24,10.3437
2008-08-25,10.3463
2008-08-26,10.349
2008-08-27,10.3516
2008-08-28,10.3542
2008-08-29,10.3569
2008-08-30,10.3585
2008-08-31,10.3612
2008-09-01,10.3638
2008-09-02,10.3634
2008-09-03,10.3661
2008-09-04,10.3689
2008-09-05,10.3716
2008-09-06,10.3742
2008-09-07,10.377
2008-09-08,10.3797
2008-09-09,10.3823
2008-09-10,10.385
2008-09-11,10.3878
2008-09-12,10.3904
2008-09-13,10.3929
2008-09-14,10.3955
2008-09-15,10.3983
2008-09-16,10.4009
2008-09-17,10.4036
2008-09-18,10.4063
2008-09-19,10.4091
2008-09-20,10.4118
2008-09-21,10.4146
2008-09-22,10.4173
2008-09-23,10.42
2008-09-24,10.4228
2008-09-25,10.4255
2008-09-26,10.4282
2008-09-27,10.4309
2008-09-28,10.4337
2008-09-29,10.4364
2008-09-30,10.4392
2008-10-01,10.4419
2008-10-02,10.4447
2008-10-03,10.4474
2008-10-04,10.4501
2008-10-05,10.4529
2008-10-06,10.4544
2008-10-07,10.4576
2008-10-08,10.4592
2008-10-09,10.462
