Date (DD/MM/YYYY),NAV
15/05/2009,10
16/05/2009,10
17/05/2009,10
18/05/2009,10
19/05/2009,10
20/05/2009,10
21/05/2009,10
22/05/2009,10
23/05/2009,10
24/05/2009,10
25/05/2009,10
26/05/2009,10
27/05/2009,10
28/05/2009,10
29/05/2009,10
30/05/2009,10
31/05/2009,10
01/06/2009,10
02/06/2009,10
03/06/2009,10
04/06/2009,10
05/06/2009,10
06/06/2009,10
07/06/2009,10
08/06/2009,10
09/06/2009,10
10/06/2009,10
11/06/2009,10
12/06/2009,9.8477
13/06/2009,9.8477
14/06/2009,9.8477
15/06/2009,9.6685
16/06/2009,9.6265
17/06/2009,9.6646
18/06/2009,9.2531
19/06/2009,9.3031
20/06/2009,9.3031
21/06/2009,9.3031
22/06/2009,9.3968
23/06/2009,9.2623
24/06/2009,9.2623
25/06/2009,9.2973
26/06/2009,9.4051
27/06/2009,9.4051
28/06/2009,9.4051
29/06/2009,9.4886
30/06/2009,9.41
01/07/2009,9.3829
02/07/2009,9.4130
03/07/2009,9.4647
04/07/2009,9.4647
05/07/2009,9.4647
06/07/2009,10.1761
07/07/2009,9.2646
08/07/2009,9.1354
09/07/2009,9.1852
10/07/2009,8.9985
11/07/2009,8.9985
12/07/2009,8.9985
13/07/2009,8.8613
14/07/2009,8.9551
15/07/2009,9.3427
16/07/2009,9.2605
17/07/2009,9.6015
18/07/2009,9.6015
19/07/2009,9.6015
20/07/2009,9.8405
21/07/2009,9.6724
22/07/2009,9.6287
23/07/2009,9.9827
24/07/2009,9.9177
25/07/2009,9.9177
26/07/2009,9.9177
27/07/2009,9.9177
28/07/2009,10.0424
29/07/2009,9.9169
30/07/2009,10.4739
31/07/2009,10.2407
01/08/2009,10.2407
02/08/2009,10.2407
03/08/2009,10.1796
04/08/2009,10.1425
05/08/2009,10.2555
06/08/2009,10.0596
07/08/2009,9.9273
08/08/2009,9.9273
09/08/2009,9.9273
10/08/2009,9.9372
11/08/2009,9.8631
12/08/2009,9.7676
13/08/2009,9.9056
14/08/2009,10.0444
15/08/2009,10.0444
16/08/2009,10.0444
17/08/2009,9.6168
18/08/2009,9.8867
19/08/2009,9.7246
20/08/2009,9.8517
21/08/2009,9.8517
22/08/2009,9.8517
23/08/2009,9.8517
24/08/2009,9.9819
25/08/2009,10.1349
26/08/2009,10.0384
27/08/2009,10.1642
28/08/2009,10.2906
29/08/2009,10.2906
30/08/2009,10.2906
31/08/2009,10.1065
01/09/2009,10.0375
02/09/2009,10.0154
03/09/2009,9.9449
04/09/2009,10.2250
05/09/2009,10.2250
06/09/2009,10.2250
07/09/2009,10.3523
08/09/2009,10.3523
09/09/2009,10.3467
10/09/2009,10.2814
11/09/2009,10.4645
12/09/2009,10.4645
13/09/2009,10.4645
14/09/2009,10.3369
15/09/2009,10.6191
16/09/2009,10.6879
17/09/2009,10.7084
18/09/2009,10.8815
19/09/2009,10.8815
20/09/2009,10.8815
21/09/2009,10.8814
22/09/2009,10.7696
23/09/2009,10.7696
24/09/2009,10.7690
