Date (MM/DD/YYYY),NSDL Published NAV,Fund Manager Published NAV
05/21/2014,15.1680,15.168
06/04/2014,15.5450,15.545
06/27/2014,15.4970,15.497
07/11/2014,15.5420,15.542
08/06/2014,15.4890,15.489
08/28/2014,15.7160,15.716
09/04/2014,15.7520,15.752
09/15/2014,15.8370,15.837
09/16/2014,15.8480,15.848
09/19/2014,15.9320,15.932
10/28/2014,16.3640,16.364
10/29/2014,16.3800,16.38
10/30/2014,16.4330,16.433
11/10/2014,16.7070,16.707
11/13/2014,16.6740,16.674
11/20/2014,16.7410,16.741
12/08/2014,17.2050,17.205
12/15/2014,17.4230,17.423
02/06/2015,17.8720,17.872
02/23/2015,17.9110,17.911
03/03/2015,17.8730,17.873
03/13/2015,17.8000,17.8
04/10/2015,17.8540,17.854
04/30/2015,17.8610,17.861
05/18/2015,17.7470,17.747
06/01/2015,17.8860,17.886
06/04/2015,17.6580,17.658
07/09/2015,17.9040,17.904
07/21/2015,17.8430,17.843
08/14/2015,18.1230,18.123
08/17/2015,18.1360,18.136
08/31/2015,18.1500,18.15
10/05/2015,18.6530,18.653
10/19/2015,18.6610,18.661
10/23/2015,18.6730,18.673
11/17/2015,18.6390,18.639
11/21/2015,18.5903,18.5943
01/11/2016,18.5910,18.591
01/21/2016,18.5760,18.576
02/02/2016,18.4140,18.414
04/12/2016,19.4360,19.436
05/24/2016,19.4870,19.487
06/07/2016,19.5580,19.558
06/17/2016,19.5820,19.582
06/18/2016,19.5820,19.5862
07/11/2016,19.9970,19.997
07/18/2016,20.1550,20.155
07/21/2016,20.2730,20.273
07/29/2016,20.5990,20.599
08/05/2016,20.6650,20.665
08/24/2016,20.8910,20.891
09/14/2016,21.0570,21.057
09/29/2016,21.2410,21.241
10/18/2016,21.4110,21.411
10/28/2016,21.4010,21.401
11/15/2016,21.8260,21.826
12/09/2016,22.0160,22.016
12/15/2016,21.8150,21.815
12/28/2016,21.5720,21.572
03/01/2017,21.1610,21.161
03/15/2017,21.1730,21.173
04/10/2017,21.3850,21.385
04/12/2017,21.4790,21.479
04/20/2017,21.5590,21.559
05/03/2017,21.5210,21.521
05/16/2017,21.6610,21.661
05/23/2017,21.8060,21.806
07/25/2017,22.6580,22.658
07/27/2017,22.6550,22.655
08/04/2017,22.7290,22.729
