Date (MM/DD/YYYY),NSDL Published NAV,Fund Manager Published NAV
06/04/2014,14.8770,14.877
06/30/2014,14.8470,14.847
08/20/2014,15.0500,15.05
09/18/2014,15.2430,15.243
09/24/2014,15.2620,15.262
09/25/2014,15.2540,15.254
10/09/2014,15.3300,15.33
10/13/2014,15.3830,15.383
10/28/2014,15.6610,15.661
11/07/2014,15.9370,15.937
12/03/2014,16.3430,16.343
12/05/2014,16.3940,16.394
12/11/2014,16.5770,16.577
12/17/2014,16.4490,16.449
01/13/2015,16.6460,16.646
01/14/2015,16.6490,16.649
01/21/2015,16.9400,16.94
01/27/2015,16.9640,16.964
02/20/2015,17.1000,17.1
03/12/2015,17.0540,17.054
03/19/2015,17.0450,17.045
03/24/2015,17.0370,17.037
03/27/2015,16.9870,16.987
03/31/2015,17.0840,17.084
04/17/2015,17.0760,17.076
05/18/2015,16.9620,16.962
06/15/2015,16.8020,16.802
07/22/2015,17.0700,17.07
08/17/2015,17.3430,17.343
09/02/2015,17.4040,17.404
11/10/2015,17.7780,17.778
11/21/2015,17.7733,17.7771
12/17/2015,17.7610,17.761
01/15/2016,17.6620,17.662
02/24/2016,17.4830,17.483
03/10/2016,17.8150,17.815
03/28/2016,18.3040,18.304
04/04/2016,18.3800,18.38
05/09/2016,18.6080,18.608
05/17/2016,18.6250,18.625
05/27/2016,18.6450,18.645
06/18/2016,18.7256,18.7296
06/20/2016,18.7350,18.735
06/21/2016,18.7480,18.748
07/07/2016,19.0900,19.09
07/20/2016,19.3540,19.354
07/21/2016,19.3870,19.387
07/25/2016,19.4610,19.461
07/29/2016,19.6990,19.699
08/26/2016,20.0020,20.002
08/31/2016,20.0800,20.08
09/15/2016,20.1450,20.145
09/20/2016,20.1420,20.142
09/27/2016,20.4010,20.401
10/26/2016,20.4810,20.481
11/03/2016,20.4490,20.449
11/30/2016,21.4980,21.498
01/02/2017,21.0520,21.052
01/19/2017,20.9510,20.951
01/23/2017,20.9580,20.958
02/28/2017,20.3210,20.321
03/02/2017,20.2770,20.277
04/06/2017,20.4710,20.471
04/19/2017,20.6220,20.622
06/07/2017,21.2560,21.256
07/06/2017,21.3910,21.391
07/12/2017,21.4900,21.49
07/18/2017,21.5360,21.536
07/20/2017,21.5710,21.571
08/01/2017,21.6250,21.625
09/14/2017,21.7170,21.717
11/24/2017,21.5070,21.507
12/14/2017,21.4930,21.493
12/26/2017,21.3840,21.384
01/08/2018,21.4360,21.436
01/09/2018,21.4130,21.413
01/10/2018,21.3260,21.326
02/02/2018,21.0630,21.063
03/08/2018,21.0910,21.091
03/26/2018,21.2870,21.287
