Date (MM/DD/YYYY),NSDL Published NAV,Fund Manager Published NAV
08/17/2020,10.0000,10
08/18/2020,10.0000,10
08/19/2020,10.0000,10
08/20/2020,10.0000,10
08/21/2020,10.0000,10
08/24/2020,10.0000,10
08/25/2020,10.0000,10
08/26/2020,10.0000,10
08/27/2020,10.0000,10
08/28/2020,10.0000,10
08/31/2020,10.0000,10
09/01/2020,10.0000,10
09/02/2020,10.0000,10
09/09/2020,10.0120,10.012
09/18/2020,10.0210,10.021
10/12/2020,10.0440,10.044
10/15/2020,10.0470,10.047
10/16/2020,10.0480,10.048
10/26/2020,10.0570,10.057
11/04/2020,10.0640,10.064
11/05/2020,10.0650,10.065
11/11/2020,10.0700,10.07
11/12/2020,10.0710,10.071
11/23/2020,10.0810,10.081
12/11/2020,10.0940,10.094
01/13/2021,10.1190,10.119
01/18/2021,10.1230,10.123
03/04/2021,10.1630,10.163
03/08/2021,10.1660,10.166
03/22/2021,10.1790,10.179
04/08/2021,10.1960,10.196
04/22/2021,10.2080,10.208
04/23/2021,10.2090,10.209
05/18/2021,10.2300,10.23
05/19/2021,10.2310,10.231
05/27/2021,10.2380,10.238
05/28/2021,10.2390,10.239
07/28/2021,10.2960,10.296
08/05/2021,10.3130,10.313
