Date (YYYY-MM-DD),NAV
2020-01-15,10.1209
2020-01-21,10.1254
2020-08-17,10
2020-08-18,10
2020-08-19,10
2020-08-20,10
2020-08-21,10
2020-08-24,10
2020-08-25,10
2020-08-26,10
2020-08-27,10
2020-08-28,10
2020-08-31,10
2020-09-01,10
2020-09-02,10
2020-09-03,9.9994
2020-09-04,10.0003
2020-09-07,10.0027
2020-09-08,10.0092
2020-09-09,10.012
2020-09-10,10.0146
2020-09-11,10.0151
2020-09-14,10.0173
2020-09-15,10.0182
2020-09-16,10.0192
2020-09-17,10.0201
2020-09-18,10.021
2020-09-21,10.0236
2020-09-22,10.0243
2020-09-23,10.0251
2020-09-24,10.0261
2020-09-25,10.0269
2020-09-28,10.0299
2020-09-29,10.0308
2020-09-30,10.0319
2020-10-01,10.0338
2020-10-05,10.0374
2020-10-06,10.0383
2020-10-07,10.0393
2020-10-08,10.0404
2020-10-09,10.0413
2020-10-12,10.044
2020-10-13,10.0448
2020-10-14,10.0459
2020-10-15,10.047
2020-10-16,10.048
2020-10-19,10.0507
2020-10-20,10.0518
2020-10-21,10.0527
2020-10-22,10.0537
2020-10-23,10.0545
2020-10-26,10.057
2020-10-27,10.0577
2020-10-28,10.0582
2020-10-29,10.0591
2020-11-02,10.0623
2020-11-03,10.0631
2020-11-04,10.064
2020-11-05,10.065
2020-11-06,10.0659
2020-11-09,10.0685
2020-11-10,10.0693
2020-11-11,10.07
2020-11-12,10.071
2020-11-13,10.0723
2020-11-17,10.0755
2020-11-18,10.0764
2020-11-19,10.0777
2020-11-20,10.0789
2020-11-23,10.081
2020-11-24,10.0815
2020-11-25,10.0822
2020-11-26,10.0833
2020-11-27,10.0844
2020-12-01,10.0875
2020-12-02,10.0876
2020-12-03,10.0875
2020-12-04,10.0883
2020-12-07,10.0909
2020-12-08,10.0919
2020-12-09,10.0922
2020-12-10,10.0928
2020-12-11,10.094
2020-12-14,10.0963
2020-12-15,10.0971
2020-12-16,10.0977
2020-12-17,10.0985
2020-12-18,10.0992
2020-12-21,10.1018
2020-12-22,10.1025
2020-12-23,10.1033
2020-12-24,10.1042
2020-12-28,10.1076
2020-12-29,10.1085
2020-12-30,10.1096
2020-12-31,10.1108
2021-01-01,10.1119
2021-01-04,10.1143
2021-01-05,10.1152
2021-01-06,10.1159
2021-01-07,10.1164
2021-01-08,10.1165
2021-01-11,10.1189
