Date (MM/DD/YYYY),Net Asset Value (INR)
10/04/2010,10.0000
10/05/2010,10.0000
10/06/2010,10.0000
10/07/2010,10.0000
10/08/2010,10.0000
10/09/2010,10.0000
10/11/2010,10.0000
10/12/2010,10.0000
10/13/2010,10.0000
10/14/2010,10.0000
10/15/2010,10.0000
10/16/2010,10.0000
10/18/2010,10.0000
10/19/2010,9.9991
10/20/2010,10.0008
10/21/2010,10.0025
10/22/2010,10.0042
10/23/2010,10.0059
10/25/2010,10.0093
10/26/2010,10.0110
10/27/2010,10.0127
10/28/2010,10.0144
10/29/2010,10.0160
10/30/2010,10.0177
11/01/2010,10.0212
11/02/2010,10.0228
11/03/2010,10.0246
11/04/2010,10.0263
11/06/2010,10.0297
11/08/2010,10.0331
11/09/2010,10.0349
11/10/2010,10.0364
11/11/2010,10.0381
11/12/2010,10.0398
11/13/2010,10.0415
11/15/2010,10.0449
11/16/2010,10.0466
11/18/2010,10.0499
11/19/2010,10.0516
11/20/2010,10.0533
11/22/2010,10.0567
11/23/2010,10.0584
11/24/2010,10.0601
11/25/2010,10.0618
11/26/2010,10.0634
11/27/2010,10.0652
11/29/2010,10.0686
11/30/2010,10.0703
12/01/2010,10.0720
12/02/2010,10.0738
12/03/2010,10.0741
12/04/2010,10.0759
12/06/2010,10.0794
12/07/2010,10.0811
12/08/2010,10.0829
12/09/2010,10.0847
12/10/2010,10.0862
12/11/2010,10.0883
12/13/2010,10.0921
12/14/2010,10.0939
12/15/2010,10.0954
12/16/2010,10.0973
12/18/2010,10.1008
12/20/2010,10.1043
12/21/2010,10.1061
12/22/2010,10.1078
12/23/2010,10.1098
12/24/2010,10.1118
12/25/2010,10.1139
12/27/2010,10.1181
12/28/2010,10.1200
12/29/2010,10.1220
12/30/2010,10.1226
12/31/2010,10.1244
01/01/2011,10.1268
01/03/2011,10.1313
01/04/2011,10.1333
01/05/2011,10.1355
01/06/2011,10.1376
01/07/2011,10.1398
01/08/2011,10.1434
01/10/2011,10.1475
01/11/2011,10.1495
01/12/2011,10.1495
01/13/2011,10.1503
01/14/2011,10.1443
01/15/2011,10.1462
01/17/2011,10.1431
01/18/2011,10.1440
01/19/2011,10.1484
01/20/2011,10.1495
01/21/2011,10.1523
01/22/2011,10.1545
01/24/2011,10.1583
01/25/2011,10.1619
01/27/2011,10.1644
01/28/2011,10.1639
01/29/2011,10.1661
01/31/2011,10.1674
02/01/2011,10.1693
02/02/2011,10.1688
02/03/2011,10.1714
02/04/2011,10.1755
02/05/2011,10.1776
02/07/2011,10.1791
02/08/2011,10.1813
02/09/2011,10.1817
02/10/2011,10.1827
02/11/2011,10.1843
02/12/2011,10.1866
02/14/2011,10.1925
02/15/2011,10.1975
02/17/2011,10.2010
02/18/2011,10.2041
02/19/2011,10.2063
02/21/2011,10.2095
02/22/2011,10.2124
02/23/2011,10.2139
02/24/2011,10.2156
02/25/2011,10.2155
02/26/2011,10.2173
02/28/2011,10.2366
03/01/2011,10.2453
03/03/2011,10.2985
03/04/2011,10.3040
03/05/2011,10.3060
03/07/2011,10.3103
03/08/2011,10.2922
03/09/2011,10.3052
03/10/2011,10.4223
03/11/2011,10.4170
03/12/2011,10.4193
03/14/2011,10.4136
03/15/2011,10.4329
03/16/2011,10.4142
03/17/2011,10.4307
03/18/2011,10.4179
03/19/2011,10.4201
03/21/2011,10.4073
03/22/2011,10.4071
03/23/2011,10.4212
03/24/2011,10.5474
03/25/2011,10.5651
03/26/2011,10.5673
03/28/2011,10.6052
03/29/2011,10.6072
03/30/2011,10.6889
03/31/2011,10.7052
04/02/2011,10.7174
04/05/2011,10.6911
04/06/2011,10.6915
04/07/2011,10.6911
04/08/2011,10.6860
04/09/2011,10.6777
04/11/2011,10.7018
04/13/2011,10.6932
04/15/2011,10.7092
04/16/2011,10.7028
04/18/2011,10.6988
04/19/2011,10.6902
04/20/2011,10.6901
04/21/2011,10.6970
04/23/2011,10.7000
04/25/2011,10.7039
04/26/2011,10.7041
04/27/2011,10.7057
04/28/2011,10.8374
04/29/2011,10.8372
04/30/2011,10.8379
05/02/2011,10.8437
05/03/2011,10.8211
05/04/2011,10.8232
05/05/2011,10.8153
05/06/2011,10.8231
05/07/2011,10.8266
05/09/2011,10.7567
05/10/2011,10.8044
05/11/2011,10.8157
05/12/2011,10.8236
05/13/2011,10.8319
05/14/2011,10.8830
05/16/2011,10.8381
05/18/2011,10.8451
05/19/2011,10.8398
05/20/2011,10.8381
05/21/2011,10.8411
05/23/2011,10.8128
05/24/2011,10.8259
05/25/2011,10.8222
05/26/2011,10.8484
05/27/2011,10.8369
05/28/2011,10.8397
05/30/2011,10.8618
05/31/2011,10.8936
06/01/2011,10.9020
06/02/2011,10.9236
06/03/2011,10.9007
06/04/2011,10.9026
06/06/2011,10.9097
06/07/2011,10.9119
06/08/2011,10.9266
06/09/2011,10.9414
06/10/2011,10.9377
06/11/2011,10.9396
06/13/2011,10.9537
06/14/2011,10.9605
06/15/2011,10.9313
06/16/2011,10.9541
06/17/2011,10.9623
06/18/2011,10.9642
06/20/2011,10.9784
06/21/2011,10.9941
06/22/2011,10.9972
06/23/2011,11.0001
06/24/2011,11.0493
06/25/2011,11.0529
06/27/2011,11.0889
06/28/2011,11.0827
06/29/2011,11.1869
06/30/2011,11.1030
07/02/2011,11.0899
07/04/2011,11.1106
07/05/2011,11.1355
07/06/2011,11.1202
07/07/2011,11.1584
07/08/2011,11.1359
07/09/2011,11.1374
07/11/2011,11.1172
07/12/2011,11.1200
07/13/2011,11.1261
07/14/2011,11.1513
07/15/2011,11.1524
07/16/2011,11.1544
07/18/2011,11.1550
07/19/2011,11.1899
07/20/2011,11.0765
07/21/2011,11.1609
07/22/2011,11.1991
07/23/2011,11.2022
07/25/2011,11.2482
07/26/2011,11.1781
07/27/2011,11.1455
07/28/2011,11.1469
07/29/2011,11.1617
07/30/2011,11.1630
08/01/2011,11.1855
08/02/2011,11.1729
08/03/2011,11.1475
08/04/2011,11.1317
08/06/2011,11.1129
08/08/2011,11.1096
08/09/2011,11.0900
08/10/2011,11.1360
08/11/2011,11.1087
08/12/2011,11.0750
08/13/2011,11.0766
08/16/2011,11.0739
08/17/2011,11.0612
08/18/2011,11.0066
08/20/2011,10.9667
08/22/2011,10.9674
08/23/2011,11.0050
08/24/2011,10.9831
08/25/2011,10.9568
08/26/2011,10.9229
08/27/2011,10.9242
08/29/2011,10.9827
08/30/2011,11.0240
09/02/2011,11.0324
09/03/2011,11.0350
09/05/2011,11.0676
09/06/2011,11.0819
09/07/2011,11.0877
09/08/2011,11.0971
09/09/2011,11.0661
09/10/2011,11.0675
09/12/2011,11.0311
09/13/2011,11.0237
09/14/2011,11.0674
09/15/2011,11.0845
09/16/2011,11.0811
09/17/2011,11.0834
09/19/2011,11.0663
09/20/2011,11.1103
09/21/2011,11.1244
09/22/2011,11.0748
09/23/2011,11.0619
09/24/2011,11.0637
09/26/2011,11.0587
09/27/2011,11.0908
09/28/2011,11.0798
09/29/2011,11.0476
10/01/2011,11.0059
10/03/2011,10.9710
10/04/2011,10.9151
10/05/2011,10.8982
10/07/2011,10.8976
10/08/2011,10.9011
10/10/2011,10.8949
10/11/2011,10.9069
10/12/2011,10.9570
10/13/2011,10.9560
10/14/2011,10.9655
10/15/2011,10.9682
10/17/2011,10.9845
10/18/2011,10.9460
10/19/2011,10.9783
10/20/2011,10.9804
10/21/2011,10.9678
10/22/2011,10.9697
10/24/2011,11.0067
10/25/2011,11.0373
10/28/2011,11.0510
10/29/2011,11.0547
10/31/2011,11.0737
11/01/2011,11.0613
11/02/2011,11.0647
11/03/2011,11.0656
11/04/2011,11.0689
11/05/2011,11.0714
11/08/2011,11.0617
11/09/2011,11.0038
11/11/2011,10.9379
11/12/2011,10.9398
11/14/2011,10.9357
11/15/2011,10.9228
11/16/2011,10.9194
11/17/2011,10.9488
11/18/2011,10.9235
11/19/2011,10.9258
11/21/2011,10.9052
11/22/2011,10.8961
11/23/2011,10.8908
11/24/2011,10.9215
11/25/2011,10.8884
11/26/2011,10.8904
11/28/2011,10.9250
11/29/2011,10.9228
11/30/2011,10.9627
12/01/2011,11.0074
12/02/2011,11.0800
12/03/2011,11.0832
12/05/2011,11.1439
12/07/2011,11.1757
12/08/2011,11.1843
12/09/2011,11.1717
12/10/2011,11.1732
12/12/2011,11.1858
12/13/2011,11.2045
12/14/2011,11.1990
12/15/2011,11.2081
12/16/2011,11.2398
12/17/2011,11.2415
12/19/2011,11.2399
12/20/2011,11.2142
12/21/2011,11.2300
12/22/2011,11.2296
12/23/2011,11.2095
12/24/2011,11.2117
12/26/2011,11.2109
12/27/2011,11.1757
12/28/2011,11.1791
12/29/2011,11.1623
12/30/2011,11.1356
12/31/2011,11.1378
01/02/2012,11.1816
01/03/2012,11.2639
01/04/2012,11.2670
01/05/2012,11.3047
01/06/2012,11.3261
01/07/2012,11.3285
01/09/2012,11.3614
01/10/2012,11.3807
01/11/2012,11.3884
01/12/2012,11.3706
01/13/2012,11.3946
01/14/2012,11.3972
01/16/2012,11.3862
01/17/2012,11.4379
01/18/2012,11.4267
01/19/2012,11.4517
01/20/2012,11.4871
01/21/2012,11.4897
01/23/2012,11.4844
01/24/2012,11.4622
01/25/2012,11.4713
01/27/2012,11.4731
01/28/2012,11.4758
01/30/2012,11.4671
01/31/2012,11.5077
02/01/2012,11.5768
02/02/2012,11.5781
02/03/2012,11.5905
02/04/2012,11.5933
02/06/2012,11.5971
02/07/2012,11.5941
02/08/2012,11.6004
02/09/2012,11.6093
02/10/2012,11.6264
02/11/2012,11.6287
02/13/2012,11.6303
02/14/2012,11.6448
02/15/2012,11.6937
02/17/2012,11.7164
02/18/2012,11.7192
02/21/2012,11.7256
02/22/2012,11.6935
02/23/2012,11.7014
02/24/2012,11.6888
02/25/2012,11.6910
02/27/2012,11.6569
02/28/2012,11.6867
02/29/2012,11.6929
03/01/2012,11.6738
03/02/2012,11.6809
03/03/2012,11.6836
03/05/2012,11.6746
03/06/2012,11.6667
03/07/2012,11.6621
03/09/2012,11.6762
03/10/2012,11.6816
03/12/2012,11.6958
03/13/2012,11.7002
03/14/2012,11.7273
03/15/2012,11.6966
03/16/2012,11.6563
03/17/2012,11.6571
03/19/2012,11.6223
03/20/2012,11.6517
03/21/2012,11.6770
03/22/2012,11.6645
03/24/2012,11.6671
03/26/2012,11.6116
03/27/2012,11.6557
03/28/2012,11.5815
03/29/2012,11.6011
03/30/2012,11.6200
03/31/2012,11.6249
04/03/2012,11.5499
04/04/2012,11.5525
04/07/2012,11.5586
04/09/2012,11.5900
04/10/2012,11.6008
04/11/2012,11.6161
04/12/2012,11.6739
04/13/2012,11.6684
04/14/2012,11.6697
04/16/2012,11.6851
04/17/2012,11.7339
04/18/2012,11.7461
04/19/2012,11.7408
04/20/2012,11.6939
04/21/2012,11.6946
04/23/2012,11.6765
04/24/2012,11.6715
04/25/2012,11.6482
04/26/2012,11.6368
04/27/2012,11.6377
04/28/2012,11.6394
04/30/2012,11.6456
05/02/2012,11.6555
05/03/2012,11.6481
05/04/2012,11.6169
05/05/2012,11.6152
05/07/2012,11.6242
05/08/2012,11.6502
05/09/2012,11.6360
05/10/2012,11.6209
05/11/2012,11.6115
05/12/2012,11.6125
05/14/2012,11.6385
05/15/2012,11.7005
05/16/2012,11.7042
05/17/2012,11.7040
05/18/2012,11.7039
05/19/2012,11.7061
05/21/2012,11.7126
05/22/2012,11.7121
05/23/2012,11.7140
05/24/2012,11.6749
05/25/2012,11.6789
05/26/2012,11.6815
05/28/2012,11.7115
05/29/2012,11.7234
05/30/2012,11.7259
05/31/2012,11.7945
06/01/2012,11.7911
06/02/2012,11.7879
06/04/2012,11.8239
06/05/2012,11.8586
06/06/2012,11.8913
06/07/2012,11.9232
06/08/2012,11.9226
06/09/2012,11.9265
06/11/2012,11.9302
06/12/2012,11.9647
06/13/2012,11.9798
06/14/2012,11.9463
06/15/2012,11.9560
06/16/2012,11.9645
06/18/2012,11.9081
06/19/2012,11.9226
06/20/2012,11.9334
06/21/2012,11.9770
06/22/2012,11.9777
06/23/2012,11.9795
06/25/2012,11.9765
06/26/2012,11.9863
06/27/2012,11.9688
06/28/2012,11.9811
06/29/2012,11.9987
06/30/2012,12.0103
07/02/2012,12.0123
07/03/2012,12.0159
07/04/2012,12.0389
07/05/2012,12.0469
07/06/2012,12.0623
07/07/2012,12.0642
07/09/2012,12.0644
07/10/2012,12.0561
07/11/2012,12.0803
07/12/2012,12.0739
07/13/2012,12.0557
07/14/2012,12.0577
07/16/2012,12.1066
07/17/2012,12.0965
07/18/2012,12.1177
07/19/2012,12.1288
07/20/2012,12.1349
07/21/2012,12.1349
07/23/2012,12.1425
07/24/2012,12.1230
07/25/2012,12.1165
07/26/2012,12.1209
07/27/2012,12.1178
07/28/2012,12.1243
07/30/2012,12.1162
07/31/2012,12.1067
08/01/2012,12.1158
08/02/2012,12.1242
08/03/2012,12.1188
08/04/2012,12.1205
08/06/2012,12.1370
08/07/2012,12.1721
08/08/2012,12.1871
08/09/2012,12.1921
08/10/2012,12.1822
08/11/2012,12.1846
08/13/2012,12.1773
08/14/2012,12.1767
08/16/2012,12.1738
08/17/2012,12.1987
08/18/2012,12.2017
08/21/2012,12.2131
08/24/2012,12.2161
08/25/2012,12.2169
08/27/2012,12.2332
08/28/2012,12.2366
08/29/2012,12.2279
08/30/2012,12.2259
08/31/2012,12.2042
09/01/2012,12.2035
09/03/2012,12.2160
09/04/2012,12.2273
09/05/2012,12.2051
09/06/2012,12.2401
09/07/2012,12.2549
09/08/2012,12.2637
09/10/2012,12.2831
09/11/2012,12.2907
09/12/2012,12.2891
09/13/2012,12.3150
09/14/2012,12.3399
09/15/2012,12.3514
09/17/2012,12.3865
09/18/2012,12.4022
09/20/2012,12.3984
09/21/2012,12.4320
09/22/2012,12.4432
09/24/2012,12.4527
09/25/2012,12.4525
09/26/2012,12.4517
09/27/2012,12.4600
09/28/2012,12.5131
09/29/2012,12.5199
10/01/2012,12.5356
10/03/2012,12.5467
10/04/2012,12.5471
10/05/2012,12.5404
10/06/2012,12.5405
10/08/2012,12.5668
10/09/2012,12.5694
10/10/2012,12.5583
10/11/2012,12.5477
10/12/2012,12.5750
