Date (MM/DD/YYYY),Net Asset Value (INR)
10/01/2025,10.0000
10/06/2025,10.0033
10/07/2025,10.0045
10/08/2025,10.0058
10/09/2025,10.0068
10/10/2025,10.0081
10/13/2025,10.0121
10/14/2025,10.0135
10/15/2025,10.0150
10/16/2025,10.0164
10/17/2025,10.0178
10/20/2025,10.0221
10/23/2025,10.0266
10/24/2025,10.0282
10/27/2025,10.0328
10/28/2025,10.0343
10/29/2025,10.0354
10/30/2025,10.0365
10/31/2025,10.0378
11/03/2025,10.0425
11/04/2025,10.0433
11/06/2025,10.0464
11/07/2025,10.0477
11/10/2025,10.0526
11/11/2025,10.0539
11/12/2025,10.0555
11/13/2025,10.0572
11/17/2025,10.0635
11/18/2025,10.0649
11/19/2025,10.0666
11/20/2025,10.0683
11/21/2025,10.0697
11/24/2025,10.0744
11/25/2025,10.0758
11/26/2025,10.0775
11/27/2025,10.0791
11/28/2025,10.0798
12/01/2025,10.0844
12/02/2025,10.0856
12/03/2025,10.0870
12/05/2025,10.0896
12/08/2025,10.0957
12/09/2025,10.0970
12/10/2025,10.0981
12/11/2025,10.0990
12/12/2025,10.1004
12/15/2025,10.1050
12/16/2025,10.1062
12/17/2025,10.1056
12/18/2025,10.1073
12/19/2025,10.1089
12/22/2025,10.1134
12/23/2025,10.1150
12/24/2025,10.1165
12/26/2025,10.1199
12/29/2025,10.1242
12/30/2025,10.1235
01/01/2026,10.1519
01/02/2026,10.1814
01/05/2026,10.1754
01/06/2026,10.1716
01/07/2026,10.1773
01/08/2026,10.1447
01/09/2026,10.1178
01/12/2026,10.1260
01/13/2026,10.1134
01/14/2026,10.1096
01/16/2026,10.1203
01/19/2026,10.1089
01/20/2026,10.0376
01/21/2026,10.0302
01/22/2026,10.0785
01/23/2026,9.9817
01/27/2026,10.0306
01/28/2026,10.0952
01/30/2026,10.1163
02/02/2026,10.0140
02/03/2026,10.2475
02/04/2026,10.2842
02/05/2026,10.2582
02/06/2026,10.2646
02/09/2026,10.3530
02/10/2026,10.3875
02/11/2026,10.4139
02/12/2026,10.3814
02/13/2026,10.2710
02/16/2026,10.3444
02/17/2026,10.3653
02/18/2026,10.3985
02/20/2026,10.2952
02/23/2026,10.3430
02/24/2026,10.2493
02/25/2026,10.2819
02/26/2026,10.2968
02/27/2026,10.1825
03/02/2026,10.0554
03/04/2026,9.9110
03/05/2026,10.0069
03/06/2026,9.9043
03/09/2026,9.7392
03/10/2026,9.8445
03/11/2026,9.7007
03/12/2026,9.6292
03/13/2026,9.4358
03/16/2026,9.5031
03/17/2026,9.5745
03/18/2026,09.6612
03/20/2026,9.4275
03/23/2026,9.1899
03/24/2026,9.3337
03/25/2026,9.4743
03/27/2026,9.2880
03/31/2026,9.0975
04/02/2026,09.2251
04/06/2026,9.3261
04/07/2026,9.3866
04/08/2026,9.7222
04/09/2026,9.6663
04/10/2026,9.7957
04/13/2026,9.7162
04/15/2026,9.8693
