Date (MM/DD/YYYY),Net Asset Value (INR)
04/29/2014,10.8277
05/21/2014,11.6903
05/28/2014,11.8134
05/29/2014,11.6747
06/04/2014,11.9561
06/19/2014,12.2078
06/24/2014,12.2692
06/27/2014,12.1570
06/30/2014,12.3223
07/01/2014,12.3596
07/02/2014,12.5047
07/04/2014,12.5666
07/07/2014,12.6234
07/08/2014,12.3604
07/09/2014,12.3026
07/10/2014,12.2751
07/11/2014,12.1053
07/14/2014,12.0996
07/15/2014,12.2167
07/16/2014,12.3748
07/17/2014,12.4049
07/18/2014,12.4425
07/21/2014,12.4771
07/22/2014,12.6117
07/23/2014,12.6579
07/24/2014,12.7140
07/25/2014,12.6503
07/28/2014,12.5948
07/30/2014,12.6638
07/31/2014,12.5512
