Date (MM/DD/YYYY),Net Asset Value (INR)
01/15/2020,10.1209
01/21/2020,10.1254
08/17/2020,10.0000
08/18/2020,10.0000
08/19/2020,10.0000
08/20/2020,10.0000
08/21/2020,10.0000
08/24/2020,10.0000
08/25/2020,10.0000
08/26/2020,10.0000
08/27/2020,10.0000
08/28/2020,10.0000
08/31/2020,10.0000
09/01/2020,10.0000
09/02/2020,10.0000
09/03/2020,9.9994
09/04/2020,10.0003
09/07/2020,10.0027
09/08/2020,10.0092
09/09/2020,10.0120
09/10/2020,10.0146
09/11/2020,10.0151
09/14/2020,10.0173
09/15/2020,10.0182
09/16/2020,10.0192
09/17/2020,10.0201
09/18/2020,10.0210
09/21/2020,10.0236
09/22/2020,10.0243
09/23/2020,10.0251
09/24/2020,10.0261
09/25/2020,10.0269
09/28/2020,10.0299
09/29/2020,10.0308
09/30/2020,10.0319
10/01/2020,10.0338
10/05/2020,10.0374
10/06/2020,10.0383
10/07/2020,10.0393
10/08/2020,10.0404
10/09/2020,10.0413
10/12/2020,10.0440
10/13/2020,10.0448
10/14/2020,10.0459
10/15/2020,10.0470
10/16/2020,10.0480
10/19/2020,10.0507
10/20/2020,10.0518
10/21/2020,10.0527
10/22/2020,10.0537
10/23/2020,10.0545
10/26/2020,10.0570
10/27/2020,10.0577
10/28/2020,10.0582
10/29/2020,10.0591
11/02/2020,10.0623
11/03/2020,10.0631
11/04/2020,10.0640
11/05/2020,10.0650
11/06/2020,10.0659
11/09/2020,10.0685
11/10/2020,10.0693
11/11/2020,10.0700
11/12/2020,10.0710
11/13/2020,10.0723
11/17/2020,10.0755
11/18/2020,10.0764
11/19/2020,10.0777
11/20/2020,10.0789
11/23/2020,10.0810
11/24/2020,10.0815
11/25/2020,10.0822
11/26/2020,10.0833
11/27/2020,10.0844
12/01/2020,10.0875
12/02/2020,10.0876
12/03/2020,10.0875
12/04/2020,10.0883
12/07/2020,10.0909
12/08/2020,10.0919
12/09/2020,10.0922
12/10/2020,10.0928
12/11/2020,10.0940
12/14/2020,10.0963
12/15/2020,10.0971
12/16/2020,10.0977
12/17/2020,10.0985
12/18/2020,10.0992
12/21/2020,10.1018
12/22/2020,10.1025
12/23/2020,10.1033
12/24/2020,10.1042
12/28/2020,10.1076
12/29/2020,10.1085
12/30/2020,10.1096
12/31/2020,10.1108
01/01/2021,10.1119
01/04/2021,10.1143
01/05/2021,10.1152
01/06/2021,10.1159
01/07/2021,10.1164
01/08/2021,10.1165
01/11/2021,10.1189
01/12/2021,10.1182
01/13/2021,10.1190
01/14/2021,10.1201
01/15/2021,10.1209
01/18/2021,10.1230
01/19/2021,10.1237
01/20/2021,10.1244
01/21/2021,10.1254
01/22/2021,10.1262
01/25/2021,10.1289
01/27/2021,10.1306
01/28/2021,10.1316
01/29/2021,10.1325
02/01/2021,10.1353
02/02/2021,10.1363
02/03/2021,10.1372
02/04/2021,10.1379
02/05/2021,10.1388
02/08/2021,10.1416
02/09/2021,10.1425
02/10/2021,10.1434
02/11/2021,10.1444
02/12/2021,10.1453
02/15/2021,10.1481
02/16/2021,10.1491
02/17/2021,10.1502
02/18/2021,10.1517
02/22/2021,10.1552
02/23/2021,10.1558
02/24/2021,10.1567
02/25/2021,10.1579
02/26/2021,10.1589
03/01/2021,10.1609
03/02/2021,10.1615
03/03/2021,10.1623
03/04/2021,10.1630
03/05/2021,10.1637
03/08/2021,10.1660
03/09/2021,10.1667
03/10/2021,10.1676
03/12/2021,10.1696
03/15/2021,10.1721
03/16/2021,10.1729
03/17/2021,10.1737
03/18/2021,10.1748
03/19/2021,10.1758
03/22/2021,10.1790
03/23/2021,10.1802
03/24/2021,10.1815
03/25/2021,10.1826
03/26/2021,10.1837
03/30/2021,10.1876
03/31/2021,10.1886
04/05/2021,10.1932
04/06/2021,10.1943
04/07/2021,10.1953
04/08/2021,10.1960
04/09/2021,10.1968
04/12/2021,10.1993
04/15/2021,10.2019
04/16/2021,10.2027
04/19/2021,10.2053
04/20/2021,10.2061
04/22/2021,10.2080
04/23/2021,10.2090
04/26/2021,10.2116
04/27/2021,10.2127
04/28/2021,10.2134
04/29/2021,10.2142
04/30/2021,10.2151
05/03/2021,10.2175
05/04/2021,10.2184
05/05/2021,10.2192
05/06/2021,10.2199
05/07/2021,10.2206
05/10/2021,10.2232
05/11/2021,10.2238
05/12/2021,10.2248
05/14/2021,10.2265
05/17/2021,10.2292
05/18/2021,10.2300
05/19/2021,10.2310
05/20/2021,10.2318
05/21/2021,10.2327
05/24/2021,10.2354
05/25/2021,10.2362
05/27/2021,10.2380
05/28/2021,10.2390
05/31/2021,10.2418
06/01/2021,10.2427
06/02/2021,10.2435
06/03/2021,10.2444
06/04/2021,10.2454
06/07/2021,10.2481
06/08/2021,10.2489
06/09/2021,10.2499
06/10/2021,10.2509
06/11/2021,10.2518
06/14/2021,10.2544
06/15/2021,10.2553
06/16/2021,10.2561
06/17/2021,10.2566
06/18/2021,10.2573
06/21/2021,10.2602
06/22/2021,10.2614
06/23/2021,10.2625
06/24/2021,10.2634
06/25/2021,10.2645
06/28/2021,10.2673
06/29/2021,10.2682
06/30/2021,10.2693
07/01/2021,10.2702
07/02/2021,10.2715
07/05/2021,10.2739
07/06/2021,10.2748
07/07/2021,10.2754
07/08/2021,10.2765
07/09/2021,10.2774
07/12/2021,10.2804
07/13/2021,10.2814
07/14/2021,10.2824
07/15/2021,10.2836
07/16/2021,10.2845
07/19/2021,10.2872
07/20/2021,10.2882
07/22/2021,10.2901
07/23/2021,10.2911
07/26/2021,10.2941
07/27/2021,10.2951
07/28/2021,10.2960
07/29/2021,10.2969
07/30/2021,10.2978
08/02/2021,10.3006
08/03/2021,10.3034
08/04/2021,10.3094
08/05/2021,10.3130
08/06/2021,10.2915
08/09/2021,10.2923
08/10/2021,10.2938
08/11/2021,10.2954
08/12/2021,10.3004
08/13/2021,10.3021
08/17/2021,10.3115
08/18/2021,10.3167
08/20/2021,10.3339
08/23/2021,10.3274
08/24/2021,10.3360
08/25/2021,10.3481
08/26/2021,10.3496
08/27/2021,10.3616
08/30/2021,10.3613
08/31/2021,10.3699
09/01/2021,10.3820
09/02/2021,10.3834
09/03/2021,10.3918
09/06/2021,10.4030
09/07/2021,10.4115
09/08/2021,10.4199
09/09/2021,10.4283
09/13/2021,10.4196
09/14/2021,10.4248
09/15/2021,10.4297
09/16/2021,10.4291
09/17/2021,10.4416
09/20/2021,10.4478
09/21/2021,10.4610
09/22/2021,10.4668
09/23/2021,10.4483
09/24/2021,10.4570
09/27/2021,10.4511
09/28/2021,10.4413
09/29/2021,10.4496
09/30/2021,10.4482
10/01/2021,10.4402
10/04/2021,10.4507
10/05/2021,10.4406
10/06/2021,10.4527
10/07/2021,10.4299
10/08/2021,10.4442
10/11/2021,10.4374
10/12/2021,10.4303
10/13/2021,10.4494
10/14/2021,10.4499
10/18/2021,10.4487
10/20/2021,10.4541
10/21/2021,10.4474
10/22/2021,10.4385
10/25/2021,10.4422
10/26/2021,10.4634
10/27/2021,10.4609
10/28/2021,10.4464
10/29/2021,10.4432
11/01/2021,10.4402
11/02/2021,10.4338
11/03/2021,10.4378
11/08/2021,10.4620
11/09/2021,10.4722
11/10/2021,10.4752
11/11/2021,10.4651
11/12/2021,10.4796
11/15/2021,10.4916
11/16/2021,10.4794
11/17/2021,10.4868
11/18/2021,10.4868
11/22/2021,10.4872
11/23/2021,10.4814
11/24/2021,10.4813
11/25/2021,10.4969
11/29/2021,10.4826
11/30/2021,10.4877
12/01/2021,10.5004
12/02/2021,10.5094
12/03/2021,10.4992
12/06/2021,10.4949
12/07/2021,10.5043
12/08/2021,10.5277
12/09/2021,10.5346
12/10/2021,10.5315
12/13/2021,10.5321
12/14/2021,10.5324
12/15/2021,10.5363
12/16/2021,10.5294
12/17/2021,10.5221
12/20/2021,10.5052
12/21/2021,10.4857
12/22/2021,10.4876
12/23/2021,10.4935
12/27/2021,10.4950
12/28/2021,10.4836
12/29/2021,10.4822
12/30/2021,10.4817
12/31/2021,10.4983
01/03/2022,10.5056
01/04/2022,10.4853
01/05/2022,10.4991
01/06/2022,10.4818
01/07/2022,10.4749
01/10/2022,10.4558
01/11/2022,10.4645
01/12/2022,10.4631
01/13/2022,10.4729
01/14/2022,10.4782
01/17/2022,10.4536
01/18/2022,10.4428
01/19/2022,10.4519
01/20/2022,10.4516
01/21/2022,10.4506
01/24/2022,10.4371
01/25/2022,10.4415
01/27/2022,10.4131
01/28/2022,10.4232
01/31/2022,10.4597
02/01/2022,10.3966
02/02/2022,10.3722
02/03/2022,10.3658
02/04/2022,10.3706
02/08/2022,10.4000
02/09/2022,10.4158
02/10/2022,10.4510
02/11/2022,10.4728
02/14/2022,10.4754
02/15/2022,10.4903
02/16/2022,10.4860
02/17/2022,10.4881
02/18/2022,10.4972
02/21/2022,10.4931
02/22/2022,10.4751
02/23/2022,10.4769
02/24/2022,10.4588
02/25/2022,10.4786
02/28/2022,10.4803
03/02/2022,10.4552
03/03/2022,10.4451
03/04/2022,10.4357
03/07/2022,10.4211
03/08/2022,10.4219
03/09/2022,10.4318
03/10/2022,10.4500
03/11/2022,10.4343
03/14/2022,10.4466
03/15/2022,10.4502
03/16/2022,10.4712
03/17/2022,10.4824
03/21/2022,10.4783
03/22/2022,10.4774
03/23/2022,10.4736
03/24/2022,10.4759
03/25/2022,10.4822
03/28/2022,10.4897
03/29/2022,10.4789
03/30/2022,10.5082
03/31/2022,10.5054
04/04/2022,10.5356
04/05/2022,10.5344
04/06/2022,10.5304
04/07/2022,10.5181
04/08/2022,10.4746
04/11/2022,10.4495
04/12/2022,10.4369
04/13/2022,10.4200
04/18/2022,10.4197
04/19/2022,10.4192
04/20/2022,10.4373
04/21/2022,10.4477
04/22/2022,10.4224
04/25/2022,10.4422
04/26/2022,10.4596
04/27/2022,10.4514
04/28/2022,10.4538
04/29/2022,10.4455
05/02/2022,10.4453
05/04/2022,10.2979
05/05/2022,10.2892
05/06/2022,10.2616
05/09/2022,10.2502
05/10/2022,10.2840
05/11/2022,10.2989
05/12/2022,10.2812
05/13/2022,10.2592
05/17/2022,10.2969
05/18/2022,10.2983
05/19/2022,10.2739
05/20/2022,10.3029
05/23/2022,10.3056
05/24/2022,10.2985
05/25/2022,10.2987
05/26/2022,10.3169
05/27/2022,10.3212
05/30/2022,10.3372
05/31/2022,10.3127
06/01/2022,10.3089
06/02/2022,10.3121
06/03/2022,10.3053
06/06/2022,10.2922
06/07/2022,10.2646
06/08/2022,10.2740
06/09/2022,10.2820
06/10/2022,10.2593
06/13/2022,10.2080
06/14/2022,10.2108
06/15/2022,10.2154
06/16/2022,10.1899
06/17/2022,10.1875
06/20/2022,10.2281
06/23/2022,10.2598
06/24/2022,10.2687
06/27/2022,10.2916
06/28/2022,10.2794
06/29/2022,10.2756
06/30/2022,10.2770
07/01/2022,10.2929
07/04/2022,10.3125
07/05/2022,10.3137
07/06/2022,10.3540
07/07/2022,10.3710
07/08/2022,10.3674
07/11/2022,10.3655
07/12/2022,10.3520
07/13/2022,10.3556
07/14/2022,10.3553
07/15/2022,10.3582
07/18/2022,10.3873
07/19/2022,10.3784
07/20/2022,10.3955
07/21/2022,10.4132
07/22/2022,10.4304
07/25/2022,10.4396
07/26/2022,10.4261
07/27/2022,10.4437
07/29/2022,10.5118
08/01/2022,10.5418
08/02/2022,10.5682
08/03/2022,10.5635
08/04/2022,10.5800
08/05/2022,10.5621
08/08/2022,10.5598
08/10/2022,10.5726
08/11/2022,10.6014
08/12/2022,10.5983
08/17/2022,10.6567
08/18/2022,10.6489
08/19/2022,10.6293
08/22/2022,10.6142
08/24/2022,10.6167
08/25/2022,10.6069
08/26/2022,10.6264
08/29/2022,10.6104
08/30/2022,10.6585
09/01/2022,10.6484
09/02/2022,10.6433
09/05/2022,10.6614
09/06/2022,10.6684
09/07/2022,10.6690
09/08/2022,10.7039
09/09/2022,10.6984
09/12/2022,10.7147
09/13/2022,10.7372
09/14/2022,10.7307
09/15/2022,10.7040
09/16/2022,10.6648
09/19/2022,10.6743
09/20/2022,10.6845
09/21/2022,10.6774
09/22/2022,10.6610
09/23/2022,10.6214
09/26/2022,10.5745
09/27/2022,10.5876
09/28/2022,10.5814
09/29/2022,10.5777
09/30/2022,10.6058
10/03/2022,10.5636
10/04/2022,10.6087
10/06/2022,10.6078
10/07/2022,10.6022
10/10/2022,10.5987
10/11/2022,10.5784
10/12/2022,10.5945
10/13/2022,10.5848
10/14/2022,10.5957
10/17/2022,10.6187
10/18/2022,10.6406
10/19/2022,10.6358
10/20/2022,10.6443
10/21/2022,10.6425
10/25/2022,10.6567
10/27/2022,10.6858
10/28/2022,10.6886
10/31/2022,10.7045
11/01/2022,10.7175
11/02/2022,10.7133
11/03/2022,10.7015
11/04/2022,10.7072
11/07/2022,10.7191
11/09/2022,10.7299
11/10/2022,10.7296
11/11/2022,10.7760
11/14/2022,10.7795
11/15/2022,10.7898
11/16/2022,10.7901
11/17/2022,10.7864
11/18/2022,10.7809
11/21/2022,10.7729
11/22/2022,10.7860
11/24/2022,10.8121
11/25/2022,10.8155
11/28/2022,10.8279
11/29/2022,10.8339
11/30/2022,10.8458
12/01/2022,10.8627
12/02/2022,10.8591
12/05/2022,10.8720
12/06/2022,10.8657
12/07/2022,10.8580
12/08/2022,10.8619
12/09/2022,10.8452
12/12/2022,10.8479
12/13/2022,10.8652
12/14/2022,10.8790
12/15/2022,10.8568
12/16/2022,10.8421
12/19/2022,10.8566
12/20/2022,10.8527
12/21/2022,10.8398
12/22/2022,10.8335
12/23/2022,10.8089
12/26/2022,10.8270
12/27/2022,10.8388
12/28/2022,10.8380
12/29/2022,10.8442
12/30/2022,10.8396
01/02/2023,10.8497
01/03/2023,10.8568
01/04/2023,10.8455
01/05/2023,10.8455
01/06/2023,10.8274
01/09/2023,10.8550
01/10/2023,10.8465
01/11/2023,10.8459
01/12/2023,10.8468
01/13/2023,10.8570
01/16/2023,10.8574
01/17/2023,10.8696
01/18/2023,10.8817
01/19/2023,10.8819
01/20/2023,10.8710
01/23/2023,10.8833
01/24/2023,10.8792
01/25/2023,10.8612
01/27/2023,10.8363
01/30/2023,10.8417
01/31/2023,10.8518
02/01/2023,10.8596
02/02/2023,10.8728
02/03/2023,10.8927
02/06/2023,10.8874
02/07/2023,10.8827
02/08/2023,10.8920
02/09/2023,10.8951
02/10/2023,10.8908
02/13/2023,10.8852
02/14/2023,10.8924
02/15/2023,10.9039
02/16/2023,10.9142
02/17/2023,10.9025
02/20/2023,10.9014
02/21/2023,10.9024
02/22/2023,10.8820
02/23/2023,10.8784
02/24/2023,10.8729
02/27/2023,10.8697
02/28/2023,10.8600
03/01/2023,10.8715
03/02/2023,10.8624
03/03/2023,10.8891
03/06/2023,10.8973
03/08/2023,10.8970
03/09/2023,10.8859
03/10/2023,10.8769
03/13/2023,10.8675
03/14/2023,10.8615
03/15/2023,10.8567
03/16/2023,10.8646
03/17/2023,10.8752
03/20/2023,10.8762
03/21/2023,10.8778
03/23/2023,10.8802
03/24/2023,10.8703
03/27/2023,10.8773
03/28/2023,10.8794
03/29/2023,10.8962
03/31/2023,10.9306
04/03/2023,10.9376
04/05/2023,10.9517
04/06/2023,10.9698
04/10/2023,10.9787
04/11/2023,10.9867
04/12/2023,10.9954
04/13/2023,10.9959
04/17/2023,10.9953
04/18/2023,10.9948
04/19/2023,10.9939
04/20/2023,10.9990
04/21/2023,11.0036
04/24/2023,11.0234
04/25/2023,11.0345
04/26/2023,11.0388
04/27/2023,11.0479
04/28/2023,11.0586
05/02/2023,11.0704
05/03/2023,11.0813
05/04/2023,11.0940
05/08/2023,11.1070
05/09/2023,11.1096
05/10/2023,11.1133
05/11/2023,11.1159
05/12/2023,11.1229
05/15/2023,11.1374
05/16/2023,11.1359
05/17/2023,11.1327
05/18/2023,11.1283
05/19/2023,11.1355
05/22/2023,11.1470
05/23/2023,11.1504
05/24/2023,11.1500
05/26/2023,11.1663
05/29/2023,11.1758
05/30/2023,11.1769
05/31/2023,11.1773
06/01/2023,11.1797
06/02/2023,11.1839
06/05/2023,11.1917
06/06/2023,11.1974
06/07/2023,11.2072
06/08/2023,11.2000
06/09/2023,11.1973
06/12/2023,11.2025
06/13/2023,11.2087
06/14/2023,11.2084
06/15/2023,11.1970
06/16/2023,11.1964
06/19/2023,11.1993
06/20/2023,11.1981
06/21/2023,11.1978
06/22/2023,11.1769
06/23/2023,11.1773
06/26/2023,11.1886
06/27/2023,11.2010
06/28/2023,11.2176
06/30/2023,11.2024
07/03/2023,11.2121
07/04/2023,11.2161
07/05/2023,11.2240
07/06/2023,11.2152
07/11/2023,11.2524
07/12/2023,11.2392
07/13/2023,11.2658
07/14/2023,11.2712
07/17/2023,11.2978
07/18/2023,11.3142
07/19/2023,11.3152
07/20/2023,11.3215
07/21/2023,11.3067
07/24/2023,11.3193
07/25/2023,11.3031
07/26/2023,11.3155
07/27/2023,11.3004
07/28/2023,11.2739
