Date,SM001013,SM002013,SM003013,SM005009,SM006009,SM007009,SM008009,SM010008
03/31/2015,,,10.0,,,,,
05/15/2015,,,10.0,,,,,
10/04/2015,,,10.0,,,,,
12/20/2015,,,10.0,,,,,
01/30/2016,,,10.0314,,,,,
02/27/2016,,,10.0762,,,,,
10/10/2016,10.0,10.0,10.0,10.0,10.0,,10.0,
10/11/2016,10.0,10.0,,,,,,
10/12/2016,10.0,10.0,,,,,,
10/13/2016,10.0,10.0,10.0,10.0,10.0,,10.0,
10/14/2016,10.0,10.0,10.0,10.0,10.0,,10.0,
10/15/2016,10.0,10.0,,,,,,
10/16/2016,10.0,10.0,,,,,,
10/17/2016,10.0,10.0,10.0,10.0,10.0,,10.0,
10/18/2016,10.0,10.0,10.0,10.0,10.0,,10.0,
10/19/2016,10.0,10.0,10.0,10.0,10.0,,10.0,
10/20/2016,10.0,10.0,10.0,10.0,10.0,,10.0,
10/21/2016,10.0,10.0,10.0,10.0,10.0,,10.0,
10/22/2016,10.0,10.0,,10.0,,,,
10/23/2016,10.0,10.0,,10.0,,,,
10/24/2016,10.0,10.0,10.0,10.0,10.0,,10.0,
10/25/2016,10.0,10.0,10.0,10.0,10.0,,10.0,
10/26/2016,10.0,10.0,10.0,10.0,10.0,,10.0,
10/27/2016,10.0,10.0017,10.0,10.0,10.0,,10.0,
10/28/2016,10.0,10.0034,10.0,10.0,10.0,,10.0,
10/29/2016,10.0,10.0053,,10.0,,,,
10/30/2016,10.0,10.0072,,10.0,,,,
10/31/2016,10.0,10.0092,,10.0,,,,
11/01/2016,10.0,10.011,10.0,10.0,10.0,,10.0,
11/02/2016,10.0032,10.0129,10.0,10.0,10.0,,10.0,
11/03/2016,10.0038,10.0148,10.0,10.0,10.0,,10.0,
11/04/2016,10.0054,10.0177,10.0,10.0,,,10.0,
11/05/2016,10.0054,10.0196,,10.0,,,,
11/06/2016,10.0054,10.0214,,10.0,,,,
11/07/2016,10.0098,10.0225,10.0,10.0,10.0,,10.0,
11/08/2016,10.0112,10.0255,10.0,10.0,10.0,,10.0,
11/09/2016,10.0131,10.0256,,10.0,,,,
11/10/2016,10.015,10.0279,10.0,10.0,10.0,,10.0,
11/11/2016,10.0167,10.0297,10.0,10.0,10.0,,10.0,
11/12/2016,10.0167,10.0317,,10.0,,,,
11/13/2016,10.0167,10.0335,,10.0,,,,
11/14/2016,10.0167,10.0354,,10.0,,,,
11/15/2016,10.0234,10.0342,10.0,10.0,10.0,,10.0,
11/16/2016,10.0254,10.0369,10.0,10.0,10.0,,10.0,
11/17/2016,10.0272,10.0393,10.0,10.0,10.0,,10.0,
11/18/2016,10.0286,10.0408,10.0,10.0,10.0,10.0,10.0,
11/19/2016,10.0286,10.0445,,10.0,,,,
11/20/2016,10.0285,10.0463,,10.0,,,,
11/21/2016,10.0336,10.0453,10.0,10.0,10.0,10.0,10.0,
11/22/2016,10.0354,10.0482,10.0,10.0,10.0,10.0,10.0,
11/23/2016,10.0375,10.0506,10.0,10.0,10.0,10.0024,10.0,
11/24/2016,10.0394,10.0527,10.0,10.0,10.0,10.0046,10.0,
11/25/2016,10.0416,10.055,10.0,10.0,10.0,10.0067,10.0,
11/26/2016,10.0416,10.0568,,10.0,,,,
11/27/2016,10.0416,10.0585,,10.0,,,,
11/28/2016,10.0471,10.0602,10.0,10.005,10.0,10.0117,10.0,
11/29/2016,10.0485,10.062,10.0,10.0064,10.0,10.0133,10.001,
11/30/2016,10.0504,10.0637,10.0,10.0083,10.0,10.015,10.0025,
12/01/2016,10.0522,10.0657,10.0,10.0103,10.0,10.0168,10.004,
12/02/2016,10.0541,10.0671,10.0,10.012,10.0,10.0186,10.0054,
12/03/2016,10.0541,10.0684,,10.012,,,,
12/04/2016,10.0541,10.0702,,10.012,,,,
12/05/2016,10.0592,10.0724,10.0,10.0169,10.0,10.0236,10.0079,
12/06/2016,10.0611,10.0745,10.0,10.0187,10.0,10.0254,10.0097,
12/07/2016,10.0629,10.0763,10.0,10.0204,10.0,10.0272,10.0114,
12/08/2016,10.0632,10.0767,10.0,10.0207,10.0,10.0278,10.0117,
12/09/2016,10.0649,10.0779,10.0,10.0224,10.0,10.0296,10.0135,
12/10/2016,10.0649,10.0798,,10.0224,,,,
12/11/2016,10.0649,10.0815,,10.0224,,,,
12/12/2016,10.0649,10.0833,,10.0224,,,,
12/13/2016,10.0719,10.0858,10.0,10.0295,10.0,10.0368,10.0204,
12/14/2016,10.0737,10.0872,10.0,10.0313,10.0,10.0,10.0221,
12/15/2016,10.0755,10.0897,10.0,10.033,10.0,10.0404,10.0238,
12/16/2016,10.0773,10.0909,10.0,10.0346,10.0,10.0423,10.0255,
12/17/2016,10.0773,10.0927,,10.0346,,,,
12/18/2016,10.0773,10.0944,,10.0346,,,,
12/19/2016,10.0827,10.0961,10.0,10.0394,10.0,10.0475,10.0302,
12/20/2016,10.0844,10.0987,10.0,10.0411,10.0,10.0492,10.0317,
12/21/2016,10.0862,10.0996,10.0,10.043,10.0,10.0509,10.0332,
12/22/2016,10.0879,10.1007,10.0,10.0447,10.0,10.0527,10.0346,
12/23/2016,10.0896,10.1028,10.0,10.0464,10.0,10.0544,10.0358,
12/24/2016,10.0896,10.1045,,10.0464,,,,
12/25/2016,10.0896,10.1063,,10.0464,,,,
12/26/2016,10.0949,10.1084,10.0,10.0516,10.0,10.0599,10.0393,
12/27/2016,10.0967,10.1108,10.0,10.0534,10.0,10.0617,10.0405,
12/28/2016,10.0984,10.1133,10.0,10.0551,10.0,10.0634,10.0417,
12/29/2016,10.1003,10.1149,10.0,10.0569,10.0,10.0653,10.0429,
12/30/2016,10.1021,10.117,10.0,10.0587,10.0,10.0671,10.0445,
12/31/2016,10.1021,10.119,,10.0587,,,,
01/01/2017,10.1021,10.1209,,10.0587,,,,
01/02/2017,10.1077,10.122,10.0,10.0643,10.0,10.0728,10.0503,
01/03/2017,10.1095,10.1234,10.0,10.0662,10.0,10.0747,10.0519,
01/04/2017,10.1113,10.126,10.0,10.0679,10.0,10.0766,10.0534,
01/05/2017,10.1132,10.1284,10.0,10.0697,10.0,10.0784,10.0551,
01/06/2017,10.1149,10.13,10.0,10.0713,10.0,10.0801,10.0568,
01/07/2017,10.1149,10.1319,,10.0713,,,,
01/08/2017,10.1149,10.1338,,10.0713,,,,
01/09/2017,10.1205,10.1354,10.0,10.0766,10.0,10.0856,10.0614,
01/10/2017,10.1223,10.1367,10.0002,10.0784,10.0,10.0874,10.0628,
01/11/2017,10.1242,10.1393,10.0018,10.0803,10.0,10.089,10.0645,
01/12/2017,10.126,10.1419,10.0033,10.0823,10.0017,10.0908,10.0662,
01/13/2017,10.1279,10.1437,10.0049,10.0841,10.003,10.0926,10.0679,
01/14/2017,10.1279,10.1454,,10.0841,,,,
01/15/2017,10.1279,10.1472,,10.0841,,,,
01/16/2017,10.1333,10.1486,10.0085,10.0893,10.0072,10.0979,10.0727,
01/17/2017,10.1352,10.1497,10.0096,10.0911,10.0086,10.0997,10.0745,
01/18/2017,10.137,10.1512,10.0113,10.0929,10.0099,10.1016,10.0762,
01/19/2017,10.1388,10.1538,10.013,10.0946,10.0113,10.1035,10.0778,
01/20/2017,10.1406,10.1556,10.0148,10.0964,10.0127,10.1054,10.0794,
01/21/2017,10.1406,10.1574,,10.0964,,,,
01/22/2017,10.1406,10.1593,,10.0964,,,,
01/23/2017,10.1462,10.161,10.0199,10.1016,10.0166,10.111,10.084,
01/24/2017,10.1481,10.1633,10.0215,10.1034,10.018,10.1128,10.0858,
01/25/2017,10.1499,10.165,10.0232,10.1051,10.0193,10.1145,10.0876,
01/26/2017,10.1499,10.1668,,10.1051,,,,
01/27/2017,10.1536,10.1686,10.0265,10.1084,10.0221,10.1181,10.0913,
01/28/2017,10.1536,10.1704,,10.1084,,,,
01/29/2017,10.1536,10.1722,,10.1084,,,,
01/30/2017,10.1591,10.1749,10.0314,10.1138,10.026,10.1236,10.0965,
01/31/2017,10.161,10.1772,10.0331,10.1156,10.0274,10.1254,10.0983,
