Date,SM010010
10/01/2025,10.0
10/06/2025,10.0002
10/07/2025,10.0017
10/08/2025,10.003
10/09/2025,10.0037
10/10/2025,10.005
10/13/2025,10.0072
10/14/2025,10.0084
10/15/2025,10.0098
10/16/2025,10.0107
10/17/2025,10.0121
10/20/2025,10.0155
