Date (DD-MM-YYYY),NAV
09-08-2021,10.3013
08-08-2021,10.3004
07-08-2021,10.2994
06-08-2021,10.2985
05-08-2021,10.2976
04-08-2021,10.2968
03-08-2021,10.2959
02-08-2021,10.2950
01-08-2021,10.2941
31-07-2021,10.2932
30-07-2021,10.2922
29-07-2021,10.2913
28-07-2021,10.2904
27-07-2021,10.2894
26-07-2021,10.2885
25-07-2021,10.2875
24-07-2021,10.2866
23-07-2021,10.2855
22-07-2021,10.2844
21-07-2021,10.2834
20-07-2021,10.2825
19-07-2021,10.2815
18-07-2021,10.2806
17-07-2021,10.2797
16-07-2021,10.2788
15-07-2021,10.2780
14-07-2021,10.2768
13-07-2021,10.2758
12-07-2021,10.2747
11-07-2021,10.2738
10-07-2021,10.2728
09-07-2021,10.2720
08-07-2021,10.2710
07-07-2021,10.2699
06-07-2021,10.2692
05-07-2021,10.2684
04-07-2021,10.2675
03-07-2021,10.2666
02-07-2021,10.2660
01-07-2021,10.2647
30-06-2021,10.2638
29-06-2021,10.2626
28-06-2021,10.2616
27-06-2021,10.2607
26-06-2021,10.2598
25-06-2021,10.2588
24-06-2021,10.2576
23-06-2021,10.2568
22-06-2021,10.2556
21-06-2021,10.2543
20-06-2021,10.2533
19-06-2021,10.2524
18-06-2021,10.2513
17-06-2021,10.2508
16-06-2021,10.2504
15-06-2021,10.2495
14-06-2021,10.2486
13-06-2021,10.2477
12-06-2021,10.2468
11-06-2021,10.2459
10-06-2021,10.2450
09-06-2021,10.2440
08-06-2021,10.2430
07-06-2021,10.2422
06-06-2021,10.2413
05-06-2021,10.2404
04-06-2021,10.2394
03-06-2021,10.2384
02-06-2021,10.2375
01-06-2021,10.2367
31-05-2021,10.2357
30-05-2021,10.2348
29-05-2021,10.2339
28-05-2021,10.2330
27-05-2021,10.2319
26-05-2021,10.2310
25-05-2021,10.2302
24-05-2021,10.2293
23-05-2021,10.2284
22-05-2021,10.2275
21-05-2021,10.2266
20-05-2021,10.2257
19-05-2021,10.2249
18-05-2021,10.2240
17-05-2021,10.2231
16-05-2021,10.2222
15-05-2021,10.2213
14-05-2021,10.2204
13-05-2021,10.2195
12-05-2021,10.2186
11-05-2021,10.2177
10-05-2021,10.2169
09-05-2021,10.2160
08-05-2021,10.2152
07-05-2021,10.2143
06-05-2021,10.2136
05-05-2021,10.2129
04-05-2021,10.2121
03-05-2021,10.2113
02-05-2021,10.2104
01-05-2021,10.2095
30-04-2021,10.2088
29-04-2021,10.2080
28-04-2021,10.2071
27-04-2021,10.2063
26-04-2021,10.2053
25-04-2021,10.2044
24-04-2021,10.2035
23-04-2021,10.2026
22-04-2021,10.2015
21-04-2021,10.2006
20-04-2021,10.1997
19-04-2021,10.1988
18-04-2021,10.1979
17-04-2021,10.1970
16-04-2021,10.1961
15-04-2021,10.1954
14-04-2021,10.1946
13-04-2021,10.1937
12-04-2021,10.1928
11-04-2021,10.1920
10-04-2021,10.1911
09-04-2021,10.1902
08-04-2021,10.1895
07-04-2021,10.1889
06-04-2021,10.1877
05-04-2021,10.1865
04-04-2021,10.1856
03-04-2021,10.1848
02-04-2021,10.1839
01-04-2021,10.1831
31-03-2021,10.1819
30-03-2021,10.1807
29-03-2021,10.1799
28-03-2021,10.1790
27-03-2021,10.1781
26-03-2021,10.1769
